UsedWells,Cell_Line,Compound,Compound_Category,Dose_Category,Dose,Compound_Usage,Target,Pathway,RowID,ColID,WellID,Markers,PlateID
1.0,DU145,Pivmecillinam hydrochloride,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,1.0,3.0,1-3,CellPainting,2021018081.0
1.0,DU145,Metronidazole Benzoate,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,1.0,14.0,1-14,CellPainting,2021018081.0
1.0,DU145,Benzathine penicilline,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,2.0,21.0,2-21,CellPainting,2021018081.0
1.0,DU145,Suberohydroxamic acid,HDAC inhibitor,1.0,10.0,known_query_cpd,HDAC,Epigenetics,3.0,16.0,3-16,CellPainting,2021018081.0
1.0,DU145,Tiaprofenic acid,cyclooxygenase inhibitor,1.0,10.0,known_query_cpd,Immunology & Inflammation related,Immunology & Inflammation,4.0,9.0,4-9,CellPainting,2021018081.0
1.0,DU145,Diclofenac Epolamine,cyclooxygenase inhibitor,1.0,10.0,known_query_cpd,Immunology & Inflamm,Immunology & Inflammation,4.0,21.0,4-21,CellPainting,2021018081.0
1.0,DU145,Kasugamycin hydrochloride,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,5.0,15.0,5-15,CellPainting,2021018081.0
1.0,DU145,2.4-dichlorobenzyl alcohol,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,5.0,22.0,5-22,CellPainting,2021018081.0
1.0,DU145,Amylmetacresol,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,6.0,4.0,6-4,CellPainting,2021018081.0
1.0,DU145,Fluorometholone,glucocorticoid receptor agonist,1.0,10.0,known_query_cpd,Glucocorticoid Receptor,Endocrinology & Hormones,7.0,5.0,7-5,CellPainting,2021018081.0
1.0,DU145,Doripenem,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Bacterial,Infection,7.0,11.0,7-11,CellPainting,2021018081.0
1.0,DU145,Doxycycline monohydrate,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,7.0,22.0,7-22,CellPainting,2021018081.0
1.0,DU145,Binimetinib (MEK162. ARRY-162. ARRY-438162),MEK inhibitor,1.0,10.0,known_query_cpd,MEK,MAPK,8.0,14.0,8-14,CellPainting,2021018081.0
1.0,DU145,Ceftizoxime sodium,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,8.0,17.0,8-17,CellPainting,2021018081.0
1.0,DU145,I-BET-762,bromodomain inhibitor,1.0,10.0,known_query_cpd,Epigenetic Reader Domain,Epigenetics,8.0,20.0,8-20,CellPainting,2021018081.0
1.0,DU145,Diclofenac acid,cyclooxygenase inhibitor,1.0,10.0,known_query_cpd,COX,Immunology & Inflammation,9.0,22.0,9-22,CellPainting,2021018081.0
1.0,DU145,Sodium dehydroacetate,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,10.0,8.0,10-8,CellPainting,2021018081.0
1.0,DU145,Ketorolac tromethamine salt,cyclooxygenase inhibitor,1.0,10.0,known_query_cpd,COX,Immunology & Inflammation,10.0,13.0,10-13,CellPainting,2021018081.0
1.0,DU145,Isoeugenol,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,11.0,4.0,11-4,CellPainting,2021018081.0
1.0,DU145,Olanexidine Hydrochloride semihydrate,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,11.0,16.0,11-16,CellPainting,2021018081.0
1.0,DU145,Oxantel Pamoate,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,12.0,17.0,12-17,CellPainting,2021018081.0
1.0,DU145,Hydrocortisone acetate,glucocorticoid receptor agonist,1.0,10.0,known_query_cpd,Glucocorticoid receptor,Nervous system,13.0,7.0,13-7,CellPainting,2021018081.0
1.0,DU145,Ertapenem sodium,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,14.0,7.0,14-7,CellPainting,2021018081.0
1.0,DU145,Zotarolimus(ABT-578),mTOR inhibitor,1.0,10.0,known_query_cpd,mTOR,PI3K/Akt/mTOR,14.0,16.0,14-16,CellPainting,2021018081.0
1.0,DU145,Osimertinib (AZD9291),EGFR inhibitor,1.0,10.0,known_query_cpd,EGFR,Protein Tyrosine Kinase,14.0,22.0,14-22,CellPainting,2021018081.0
1.0,DU145,Vancomycin,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,15.0,8.0,15-8,CellPainting,2021018081.0
1.0,DU145,Penicillin G Procaine,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,15.0,9.0,15-9,CellPainting,2021018081.0
1.0,DU145,pyrvinium,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,15.0,10.0,15-10,CellPainting,2021018081.0
1.0,DU145,Terpinen-4-ol,bacterial cell wall synthesis inhibitor,1.0,10.0,known_query_cpd,Anti-infection,Microbiology,15.0,22.0,15-22,CellPainting,2021018081.0
1.0,DU145,Benzalkonium chloride,cyclooxygenase inhibitor,1.0,10.0,known_query_cpd,Immunology & Inflammation related,Immunology,16.0,3.0,16-3,CellPainting,2021018081.0
