experiment_name,plate,address,gene,treatment,SMILES,concentration,perturbation_type,cell_type,Compound,Compound_Category
compound-003,35,Y15,,clozapine,"CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2 |c:10,13,16,18,21,24,t:8|",2.5,COMPOUND,HUVEC,clozapine,dopamine receptor antagonist|serotonin receptor antagonist
compound-001,40,T12,,lomerizine,"COC1=C(OC)C(OC)=C(CN2CCN(CC2)C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C=C1 |c:2,24,32,35,t:8,19,21,27,29|",10.0,COMPOUND,HUVEC,lomerizine,calcium channel blocker
compound-002,10,T16,,birb 796,"CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C |c:3,5,9,11,32,35,37,t:1,18,20|",2.5,COMPOUND,HUVEC,doramapimod,p38 MAPK inhibitor
compound-004,5,Y07,,flavopiridol,"[H][C@@]1(CCN(C)C[C@H]1O)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=C(Cl)C=CC=C1 |c:10,13,21,25,28,30,t:18|",2.5,COMPOUND,HUVEC,alvocidib,CDK inhibitor
compound-004,29,C33,,birb 796,"CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C |c:3,5,9,11,32,35,37,t:1,18,20|",2.5,COMPOUND,HUVEC,doramapimod,p38 MAPK inhibitor
compound-003,4,M22,,celecoxib,"CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F |c:3,5,10,16,18,t:1,8,14|",2.5,COMPOUND,HUVEC,celecoxib,cyclooxygenase inhibitor
compound-003,47,Y10,,etofenamate,"OCCOCCOC(=O)C1=CC=CC=C1NC1=CC=CC(=C1)C(F)(F)F |c:11,13,19,21,t:9,17|",10.0,COMPOUND,HUVEC,etofenamate,cyclooxygenase inhibitor
compound-001,33,Q23,,lovastatin,"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC |c:6,9|",2.5,COMPOUND,HUVEC,lovastatin,HMGCR inhibitor
compound-001,13,Z04,,sertindole,"FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=CC(Cl)=CC=C12 |c:3,5,30,t:1,9,27,32|",10.0,COMPOUND,HUVEC,sertindole,dopamine receptor antagonist|serotonin receptor antagonist
compound-003,22,N36,,topiroxostat,"N#CC1=NC=CC(=C1)C1=NNC(=N1)C1=CC=NC=C1 |c:4,6,12,17,19,t:2,9,15|",2.5,COMPOUND,HUVEC,topiroxostat,xanthine oxidase inhibitor
compound-004,15,M06,,febuxostat,"CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N |c:7,9,15,t:5,12|",10.0,COMPOUND,HUVEC,febuxostat,xanthine oxidase inhibitor
compound-004,18,P40,,pd0325901,"OC[C@@H](O)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1 |c:9,17,25,t:12,14,22|",2.5,COMPOUND,HUVEC,PD-0325901,MEK inhibitor
compound-004,44,N43,,fenoterol,"CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1 |c:8,18,21,t:3,5,15|",10.0,COMPOUND,HUVEC,fenoterol,adrenergic receptor agonist
compound-001,41,S19,,salmeterol,"OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1 |c:2,5,7,27,29,t:25|",2.5,COMPOUND,HUVEC,salmeterol,adrenergic receptor agonist
compound-001,15,C07,,birb 796,"CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C |c:3,5,9,11,32,35,37,t:1,18,20|",2.5,COMPOUND,HUVEC,doramapimod,p38 MAPK inhibitor
compound-003,41,G04,,blonanserin,"CCN1CCN(CC1)C1=CC(C2=CC=C(F)C=C2)=C2CCCCCCC2=N1 |c:17,28,t:9,12,14,19|",10.0,COMPOUND,HUVEC,blonanserin,dopamine receptor antagonist|serotonin receptor antagonist
compound-001,39,Z30,,bi 2536,"CC[C@H]1N(C2CCCC2)C2=NC(NC3=CC=C(C=C3OC)C(=O)NC3CCN(C)CC3)=NC=C2N(C)C1=O |c:16,18,33,35,t:10,14|",2.5,COMPOUND,HUVEC,BI-2536,PLK inhibitor
compound-001,29,Q37,,birb 796,"CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C |c:3,5,9,11,32,35,37,t:1,18,20|",2.5,COMPOUND,HUVEC,doramapimod,p38 MAPK inhibitor
