Plate,Well,Compound_Category,Compound,Concentration
2013002117,A-4,Actin,CytD,1
2013002127,A-4,Actin,CytD,1
2013002117,A-22,Actin,LatA,1
2013002127,A-22,Actin,LatA,1
2013002117,A-21,AuroraB,ZM447439,1
2013002127,A-21,AuroraB,ZM447439,1
2013002117,A-18,DNA,CPT,1
2013002127,A-18,DNA,CPT,1
2013002117,A-6,DNA,Eloxatin,1
2013002127,A-6,DNA,Eloxatin,1
2013002117,A-13,DNA,Etoposide,1
2013002127,A-13,DNA,Etoposide,1
2013002117,B-10,DNA,Gemcitabine,1
2013002127,B-10,DNA,Gemcitabine,1
2013002117,B-4,ER,BFA,1
2013002127,B-4,ER,BFA,1
2013002117,B-22,ER,Tunicamycin,1
2013002127,B-22,ER,Tunicamycin,1
2013002117,B-13,HDAC,Apicidin,1
2013002127,B-13,HDAC,Apicidin,1
2013002117,A-9,HDAC,Oxamflatin,1
2013002127,A-9,HDAC,Oxamflatin,1
2013002117,B-6,HDAC,Panobinostat,1
2013002127,B-6,HDAC,Panobinostat,1
2013002117,B-18,HDAC,SAHA,1
2013002127,B-18,HDAC,SAHA,1
2013002117,A-14,HDAC,TSA,1
2013002127,A-14,HDAC,TSA,1
2013002117,B-19,Hsp90,17-AAG,1
2013002127,B-19,Hsp90,17-AAG,1
2013002117,B-12,Hsp90,17-DMAG,1
2013002127,B-12,Hsp90,17-DMAG,1
2013002117,A-8,Hsp90,AUY922,1
2013002127,A-8,Hsp90,AUY922,1
2013002117,B-7,Hsp90,Geldanamycin,1
2013002127,B-7,Hsp90,Geldanamycin,1
2013002117,A-15,Hsp90,SNX-2112,1
2013002127,A-15,Hsp90,SNX-2112,1
2013002117,B-15,MT,Colchicine,1
2013002127,B-15,MT,Colchicine,1
2013002117,A-16,MT,Docetaxel,1
2013002127,A-16,MT,Docetaxel,1
2013002117,A-11,MT,EpothiloneB,1
2013002127,A-11,MT,EpothiloneB,1
2013002117,B-20,MT,Nocodazole,1
2013002127,B-20,MT,Nocodazole,1
2013002117,B-8,MT,Vinblastine,1
2013002127,B-8,MT,Vinblastine,1
2013002117,A-3,PLK,BI2536,1
2013002127,A-3,PLK,BI2536,1
2013002117,B-11,Proteasome,AclacinomycinA,1
2013002127,B-11,Proteasome,AclacinomycinA,1
2013002117,A-7,Proteasome,Epoxomycin,1
2013002127,A-7,Proteasome,Epoxomycin,1
2013002117,A-19,Proteasome,MG-115,1
2013002127,A-19,Proteasome,MG-115,1
2013002117,A-12,Proteasome,MG132,1
2013002127,A-12,Proteasome,MG132,1
2013002117,B-16,Proteasome,PS-341,1
2013002127,B-16,Proteasome,PS-341,1
2013002117,A-10,mTOR,AZD8055,1
2013002127,A-10,mTOR,AZD8055,1
2013002117,B-14,mTOR,Deforolimus,1
2013002127,B-14,mTOR,Deforolimus,1
2013002117,A-17,mTOR,INK128,1
2013002127,A-17,mTOR,INK128,1
2013002117,B-9,mTOR,Rapamycin,1
2013002127,B-9,mTOR,Rapamycin,1
2013002117,A-5,mTOR,Torin1,1
2013002127,A-5,mTOR,Torin1,1
