Cells_AreaShape_FormFactor,Cells_AreaShape_Zernike_1_1,Cells_AreaShape_Zernike_2_2,Cells_AreaShape_Zernike_5_1,Cells_AreaShape_Zernike_6_0,Cells_AreaShape_Zernike_6_2,Cells_AreaShape_Zernike_7_1,Cells_AreaShape_Zernike_7_3,Cells_AreaShape_Zernike_8_0,Cells_AreaShape_Zernike_8_2,Cells_AreaShape_Zernike_8_4,Cells_AreaShape_Zernike_9_1,Cells_AreaShape_Zernike_9_3,Cells_Granularity_2_ER,Cells_Granularity_2_RNA,Cells_RadialDistribution_RadialCV_AGP_4of4,Cells_RadialDistribution_RadialCV_ER_3of4,Cells_RadialDistribution_RadialCV_ER_4of4,Cells_RadialDistribution_RadialCV_RNA_1of4,Cells_Texture_InfoMeas2_ER_5_0,Cytoplasm_AreaShape_Zernike_1_1,Cytoplasm_AreaShape_Zernike_6_0,Cytoplasm_AreaShape_Zernike_6_2,Cytoplasm_AreaShape_Zernike_7_1,Cytoplasm_AreaShape_Zernike_7_3,Cytoplasm_AreaShape_Zernike_8_0,Cytoplasm_AreaShape_Zernike_8_2,Cytoplasm_AreaShape_Zernike_8_4,Cytoplasm_AreaShape_Zernike_9_1,Cytoplasm_AreaShape_Zernike_9_3,Cytoplasm_Correlation_Overlap_ER_AGP,Cytoplasm_Intensity_MassDisplacement_DNA,Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4,Cytoplasm_RadialDistribution_RadialCV_ER_1of4,Nuclei_AreaShape_Orientation,Nuclei_AreaShape_Zernike_2_0,Nuclei_AreaShape_Zernike_3_1,Nuclei_AreaShape_Zernike_4_2,Nuclei_AreaShape_Zernike_4_4,Nuclei_AreaShape_Zernike_6_0,Nuclei_AreaShape_Zernike_6_2,Nuclei_AreaShape_Zernike_6_4,Nuclei_AreaShape_Zernike_7_1,Nuclei_AreaShape_Zernike_8_0,Nuclei_AreaShape_Zernike_8_2,Nuclei_AreaShape_Zernike_9_1,Nuclei_AreaShape_Zernike_9_3,Nuclei_Granularity_7_DNA,Nuclei_Intensity_StdIntensityEdge_RNA,Nuclei_Texture_Correlation_AGP_10_0,Nuclei_Texture_Correlation_RNA_20_0,Nuclei_Texture_DifferenceVariance_DNA_5_0,Nuclei_Texture_DifferenceVariance_ER_20_0,Nuclei_Texture_DifferenceVariance_Mito_10_0,Nuclei_Texture_Gabor_DNA_20,Nuclei_Texture_InfoMeas1_DNA_20_0,Nuclei_Texture_InfoMeas2_DNA_20_0,Nuclei_Texture_SumEntropy_DNA_10_0
-0.8210799999999999,0.46063,-0.8220700000000001,0.1633099999999999,-0.8993200000000001,-0.5229699999999999,1.1907,0.2099,-0.58309,-0.35013,-0.95053,0.8672,0.93046,0.8375299999999999,-1.0829,0.068713,0.0540419999999999,0.22841,-0.36911,-0.094568,-0.020657,0.058079,-0.63952,-0.089638,0.0845669999999999,-0.78517,-1.7139,0.15291,-1.3223,-0.83535,-1.3087,-1.5272,0.8915,-0.13347,0.5762,-0.10685,-0.94764,-1.0018,-1.0971,0.7910699999999999,0.4346100000000001,0.23522,-0.36486,0.18778,0.23241,1.3594,-0.74047,0.31679,-2.3399,0.31138,0.8034899999999999,-0.33821,1.5955,-1.1448,-0.48465,-0.8375,0.80548,0.91121
-2.1651,-0.22878,4.0642,-1.5809,0.7754,0.58163,-0.28507,0.35195,0.77887,0.8700200000000001,-1.2688,-1.192,-2.1745,1.6374,0.30833,-0.20174,-0.26813,-0.53427,-0.32009,-2.3614,0.282,-1.1608,1.2857,-0.56575,0.32369,-0.51991,-0.37223,-1.5497,-1.2029,0.9516,-2.0033,-1.6045,0.47508,0.2707,-1.0168,-2.137,0.21517,1.8613,-1.402,1.9873,-1.8626,-0.4166,0.70609,-1.4698,0.47618,-1.34,-0.5965199999999999,-0.24543,-2.1866,-0.52876,-0.015405,1.3057,1.4896,-0.8663700000000001,1.3044,-0.50298,0.1744099999999999,-0.48965
-1.1538,0.57005,-1.1288,-0.23844,-0.131,0.7087,0.27987,0.094094,0.33485,-0.41,-1.4916,-0.36377,0.025597,-0.44867,-0.86767,-0.33037,-0.82726,-0.56366,-0.42397,-0.77045,1.2361,-1.565,0.82604,-1.2094,-0.0029161,-0.56335,-1.429,-1.2354,-0.29375,0.18792,0.010067,-0.7900699999999999,0.42229,0.19869,-0.12218,-1.8966,0.41355,-1.7474,-3.1421,0.15366,-0.64345,-2.1283,-0.15001,-0.74422,0.32882,1.2747,0.88333,-0.69103,-2.0328,0.26735,0.91448,-1.1712,0.8695799999999999,-2.2667,-0.12761,-0.14662,0.077436,0.11998
-8.2182,-0.12013,-2.6645,-1.2085,0.2089,-5.8798,2.0807,1.2829,-0.41609,0.62978,-0.29685,0.54999,-1.564,-1.1589,2.2768,-3.2086,1.7533,0.0583919999999999,2.2588,3.143,-0.53565,3.0395,-3.8604,3.5106,-0.38026,4.0303,4.2233,-1.9761,4.4847,-0.0085187999999999,-0.21141,0.78291,2.9091,-1.7109,0.52494,3.6596,-4.6741,0.30736,-0.47065,5.86,2.5569,2.0263,-2.9513,4.3859,2.3785,-2.6667,-2.1952,-0.6614399999999999,-5.2643,-1.5066,-2.3115,5.9715,2.3335,4.1827,-3.0142,2.1343,-2.085,-1.0215
-5.4577,-0.13161,-1.4032,-1.4274,0.5311,-0.72825,1.6874,-1.6421,0.35911,-1.6082,-1.3153,0.17539,1.3746,-1.0878,-0.21273,-4.1497,-1.6816,-1.5758,-0.48592,2.4059,-0.40498,3.2733,0.25647,3.4077,0.18371,3.2585,3.0478,-1.3578,2.1181,1.2934,3.8355,-1.369,3.4956,-3.9033,0.7599600000000001,0.96165,-4.1797,1.4401,-1.4451,4.7969,3.3019,1.0514,-2.8243,2.4329,3.5567,-1.8174,-4.4155,-1.0183,-5.3397,-1.731,-2.2261,4.8089,2.1308,1.926,-1.0315,2.073,-1.9909,-2.2083
-3.44,0.026016,-1.8136,-1.4535,-0.23368,-3.1036,1.1608,-0.78623,-0.83134,1.5483,-0.76202,1.2245,-0.2419,-2.191,0.080821,-3.412,0.39804,-0.659,1.3155,2.8398,-0.49242,3.0488,-1.4722,4.0984,-0.96464,2.4637,4.9453,-0.5995,2.803,-0.59682,3.2013,0.2469,3.7889,-3.1451,0.4463,1.6428,-6.3192,-1.6051,-1.8992,5.7082,4.8202,2.8595,-3.5980000000000003,2.2216,4.3295,-6.4097,-3.6075,0.58485,-5.9214,-1.4493,-3.0601,4.0498,0.54594,0.72272,-2.7464,1.9455,-1.7058,-0.79447
-3.9424,-0.60601,-3.1096,0.23517,-0.049569,0.21994,0.56852,-0.93913,1.382,-0.57218,-0.53433,0.0010826,1.2428,-1.3811,-1.0027,-1.7728,-0.4396100000000001,-1.4987,-0.95067,2.0471,-1.4773,2.5315,0.34307,3.6193,-1.1174,0.47092,1.1671,-1.1718,2.8159,-0.45751,0.26174,-2.2485,0.40469,0.94745,0.89518,-0.8548,-3.3129,-4.0299,-2.9233,2.4072,0.66038,2.9389,-0.48574,2.0518,2.1677,1.5509,-0.518,0.73628,-0.91654,0.40504,-1.0334,-0.45639,-1.4564,-1.4937,-3.3712,1.0172,-0.6592899999999999,1.4171
-4.42,-0.49889,-0.081861,0.68919,1.2817,3.6119,0.57697,1.1481,1.9603,-0.27131,-2.8002,0.28798,0.24318,0.5272100000000001,3.177,-2.1279,0.4947,-1.7037,2.1186,-0.069535,-0.14556,3.4561,1.6754,3.7663,-0.91623,4.8021,2.9582,-0.91035,3.045,0.39437,-2.0436,-0.38931,-0.18182,2.9509,0.39415,-1.6562,-1.6130000000000002,-2.6809,-0.33807,1.6433,2.0658,2.2417,-2.2402,-1.3234,-0.36958,0.97496,-0.26718,-0.42645,0.70939,-1.4486,-2.4749,1.5248,-0.5036,-0.35469,-1.2654,0.8617799999999999,-0.79535,-0.8074399999999999
-0.8276700000000001,-0.32137,-0.5246,-0.5552699999999999,0.99138,1.2561,0.81882,-0.64599,0.33654,0.077301,-0.13037,0.3616,-0.034556,0.81816,2.6465,-0.51508,-0.52172,-0.16564,0.11796,-0.12516,-0.62405,0.19282,0.20984,0.66861,2.0733,0.95755,0.71927,-0.1252599999999999,0.65213,1.7283,1.5604,0.087308,1.2024,-1.1058,1.4552,0.76131,-0.8805,0.43828,-0.16241,0.34573,0.51927,1.7656,0.10825,0.054539,-0.86418,1.2983,0.20938,0.30461,0.08002,-1.7016,-2.6721,0.66969,-1.0117,-0.12142,0.20304,0.40342,-0.6419199999999999,-1.683
-2.1322,0.099471,-2.8813,1.0289,0.90286,1.2757,-0.075738,-0.4189,0.11933,-0.44259,1.0068,-0.89643,-2.2334,0.96034,0.4455,-3.0481,-1.1006,-1.2604,0.75855,-1.1515,0.72013,1.5263,1.1525,1.6238,-0.020413,-0.88084,0.28267,1.0813,1.0032,-1.9177,-1.7416,-2.2314,-0.27566,0.88864,1.1373,0.29384,-3.1542,1.1327,-0.7026600000000001,1.7863,-1.1571,0.37125,-1.7089,2.0925,2.1599,-1.0915,-0.51473,2.3046,-2.774,-1.4549,0.041019,1.3701,0.19206,2.0717,0.042116,1.7348,-1.8129,-0.8852700000000001
