broad_id,Compound,Compound_Category,target,Metadata_pert_id_dose,Metadata_mmoles_per_liter
BRD-A62035778,scopolamine,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|SI,BRD-A62035778_10.0,10.0
BRD-A62035778,scopolamine,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|SI,BRD-A62035778_3.33,3.3333
BRD-A62035778,scopolamine,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|SI,BRD-A62035778_1.11,1.1111
BRD-A62071884,siguazodan,phosphodiesterase inhibitor,PDE3A,BRD-A62071884_10.0,10.0
BRD-A62071884,siguazodan,phosphodiesterase inhibitor,PDE3A,BRD-A62071884_3.33,3.3333
BRD-A62071884,siguazodan,phosphodiesterase inhibitor,PDE3A,BRD-A62071884_1.11,1.1111
BRD-K62200014,anagrelide,phosphodiesterase inhibitor,PDE3A,BRD-K62200014_10.0,10.0
BRD-K62200014,anagrelide,phosphodiesterase inhibitor,PDE3A,BRD-K62200014_3.33,3.3333
BRD-K62200014,anagrelide,phosphodiesterase inhibitor,PDE3A,BRD-K62200014_1.11,1.1111
BRD-K62310379,fluticasone-propionate,glucocorticoid receptor agonist,NR3C1|NR3C2|PGR|PLA2G4A,BRD-K62310379_10.0,10.0
BRD-K62310379,fluticasone-propionate,glucocorticoid receptor agonist,NR3C1|NR3C2|PGR|PLA2G4A,BRD-K62310379_3.33,3.3333
BRD-K62310379,fluticasone-propionate,glucocorticoid receptor agonist,NR3C1|NR3C2|PGR|PLA2G4A,BRD-K62310379_1.11,1.1111
BRD-A62525898,prednisone,glucocorticoid receptor agonist,HSD11B1|NR3C1,BRD-A62525898_10.0,10.0
BRD-A62525898,prednisone,glucocorticoid receptor agonist,HSD11B1|NR3C1,BRD-A62525898_3.33,3.3333
BRD-A62525898,prednisone,glucocorticoid receptor agonist,HSD11B1|NR3C1,BRD-A62525898_1.11,1.1111
BRD-K62562723,SR-2640,leukotriene receptor antagonist,CYSLTR1,BRD-K62562723_10.0,10.0
BRD-K62562723,SR-2640,leukotriene receptor antagonist,CYSLTR1,BRD-K62562723_3.33,3.3333
BRD-K62562723,SR-2640,leukotriene receptor antagonist,CYSLTR1,BRD-K62562723_1.11,1.1111
BRD-K62762455,RU-58841,androgen receptor antagonist,AR,BRD-K62762455_10.0,10.0
BRD-K62762455,RU-58841,androgen receptor antagonist,AR,BRD-K62762455_3.33,3.3333
BRD-K62762455,RU-58841,androgen receptor antagonist,AR,BRD-K62762455_1.11,1.1111
BRD-K63430059,methoxsalen,DNA synthesis inhibitor,CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4,BRD-K63430059_10.0,10.0
BRD-K63430059,methoxsalen,DNA synthesis inhibitor,CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4,BRD-K63430059_3.33,3.3333
BRD-K63430059,methoxsalen,DNA synthesis inhibitor,CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4,BRD-K63430059_1.11,1.1111
BRD-K64338723,milacemide,monoamine oxidase inhibitor,MAOB,BRD-K64338723_10.0,10.0
BRD-K64338723,milacemide,monoamine oxidase inhibitor,MAOB,BRD-K64338723_3.33,3.3333
BRD-K64338723,milacemide,monoamine oxidase inhibitor,MAOB,BRD-K64338723_1.11,1.1111
BRD-K64052750,gefitinib,EGFR inhibitor,EGFR,BRD-K64052750_10.0,10.0
BRD-K64052750,gefitinib,EGFR inhibitor,EGFR,BRD-K64052750_3.33,3.3333
BRD-K64052750,gefitinib,EGFR inhibitor,EGFR,BRD-K64052750_1.11,1.1111
BRD-K64785675,TG100-115,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,BRD-K64785675_10.0,10.0
BRD-K64785675,TG100-115,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,BRD-K64785675_3.33,3.3333
BRD-K64785675,TG100-115,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,BRD-K64785675_1.11,1.1111
BRD-K64890080,BI-2536,PLK inhibitor,BRD4|PLK1|PLK2|PLK3,BRD-K64890080_10.0,10.0
BRD-K64890080,BI-2536,PLK inhibitor,BRD4|PLK1|PLK2|PLK3,BRD-K64890080_3.33,3.3333
BRD-K64890080,BI-2536,PLK inhibitor,BRD4|PLK1|PLK2|PLK3,BRD-K64890080_1.11,1.1111
BRD-K64755930,etazolate,phosphodiesterase inhibitor,GABRB3|PDE4A,BRD-K64755930_10.0,10.0
BRD-K64755930,etazolate,phosphodiesterase inhibitor,GABRB3|PDE4A,BRD-K64755930_3.33,3.3333
BRD-K64755930,etazolate,phosphodiesterase inhibitor,GABRB3|PDE4A,BRD-K64755930_1.11,1.1111
BRD-K64800655,PHA-793887,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,BRD-K64800655_10.0,10.0
BRD-K64800655,PHA-793887,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,BRD-K64800655_3.33,3.3333
BRD-K64800655,PHA-793887,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,BRD-K64800655_1.11,1.1111
BRD-K65170927,aprepitant,tachykinin antagonist,TACR1,BRD-K65170927_10.0,10.0
BRD-K65170927,aprepitant,tachykinin antagonist,TACR1,BRD-K65170927_3.33,3.3333
BRD-K65170927,aprepitant,tachykinin antagonist,TACR1,BRD-K65170927_1.11,1.1111
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K60230970,MG-132,proteasome inhibitor,PSMB1,BRD-K60230970_20.0,19.999
BRD-K65820248,SDZ-NKT-343,tachykinin antagonist,TACR1,BRD-K65820248_10.0,10.0
