Metadata_pert_id,Compound,Compound_Category,Metadata_target,Metadata_mmoles_per_liter
BRD-K18574842,nafcillin,bacterial cell wall synthesis inhibitor,"CYP1A2, CYP3A4, SLC22A6",2.19548690004561
BRD-K18909381,,serotonin receptor agonist,"HTR1B, HTR1A, HTR1D, HTR2A, HTR2B, HTR2C",5.0
BRD-K19352500,prochlorperazine,dopamine receptor antagonist,"DRD1, DRD2, DRD3, DRD4",1.64992820007452
BRD-K19554809,,serotonin receptor agonist,"HTR2A, HTR2B, HTR2C",5.0
BRD-K20620780,butaclamol,dopamine receptor antagonist,"DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A",5.0
BRD-K20742498,RS-39604,serotonin receptor antagonist,HTR4,5.0
BRD-K21565985,xylazine,adrenergic receptor agonist,"ADRA2A, ADRA2B, ADRA2C",5.0
BRD-K21853356,,EGFR inhibitor,EGFR,9.08652376932849
BRD-K23478508,digoxin,ATPase inhibitor,ATP1A1,1.28051063076084
BRD-K24396733,A77636,dopamine receptor agonist,CALY,5.0
BRD-K25224017,pirenperone,serotonin receptor antagonist,"HTR2A, HTR7",5.0
BRD-K26429091,J-104129,acetylcholine receptor antagonist,CHRM3,5.0
BRD-K28761384,zuclopenthixol,dopamine receptor antagonist,"ADRA1A, ADRA2A, DRD1, DRD2, DRD5, HRH1, HTR2A",2.28610284481724
BRD-K28806945,,dopamine receptor antagonist,DRD4,5.0
BRD-K30421593,timolol,adrenergic receptor antagonist,"ADRB1, ADRB2",5.0
BRD-K30867024,SB-216641,serotonin receptor antagonist,"HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C",5.0
BRD-K31491153,1-phenylbiguanide,serotonin receptor agonist,"HTR3A, HTR3B",5.0
BRD-K31627533,rimexolone,glucocorticoid receptor agonist,"NR3C1, SERPINA6",2.6988735117871703
BRD-K32292990,,EGFR inhibitor,,5.0
BRD-K32645441,,serotonin receptor agonist,"HTR1B, HTR1D, HTR1F, HTR7",5.0
BRD-K32828673,,tubulin polymerization inhibitor,,5.0
BRD-K32830106,guanfacine,adrenergic receptor agonist,"ADRA2A, ADRA2B, ADRA2C",5.0
BRD-K35240538,methylprednisolone,glucocorticoid receptor agonist,NR3C1,2.6704366110450297
BRD-K35708212,ouabain,ATPase inhibitor,ATP1A1,1.37216618524216
BRD-K36007650,puromycin,protein synthesis inhibitor,"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1",1.8367785666456
BRD-K36055864,,protein synthesis inhibitor,,5.0
BRD-K36965586,m-Chlorophenylbiguanide,serotonin receptor agonist,"HTR3A, HTR3B",5.0
BRD-K38305202,domperidone,dopamine receptor antagonist,"DRD2, DRD3",5.0
BRD-K38775274,dexamethasone,glucocorticoid receptor agonist,"ANXA1, NOS2, NR0B1, NR3C1, NR3C2",6.37005867439642
BRD-K39188321,betamethasone,glucocorticoid receptor agonist,NR3C1,2.54802346975857
BRD-K78364995,cefotaxime,bacterial cell wall synthesis inhibitor,,2.09005962417593
BRD-K78643075,bromperidol,dopamine receptor antagonist,DRD2,2.37916674153904
BRD-K79131256,albendazole,tubulin polymerization inhibitor,"TUBA1A, TUBB, TUBB4B",5.0
BRD-K79425933,benperidol,dopamine receptor antagonist,DRD2,2.6216218674589
BRD-K80451230,zamifenacin,acetylcholine receptor antagonist,CHRM3,5.0
BRD-K80639402,SB-258585,serotonin receptor antagonist,HTR6,5.0
BRD-K80725821,RS-16566,serotonin receptor antagonist,,5.0
BRD-K81709173,halcinonide,glucocorticoid receptor agonist,NR3C1,2.19799889116759
BRD-K81729199,AQ-RA741,acetylcholine receptor antagonist,,5.0
BRD-K82484965,carmoxirole,dopamine receptor agonist,DRD2,5.0
BRD-K82731415,,CDK inhibitor,,8.37961618810455
BRD-K84421793,,dopamine receptor agonist,DRD1,5.0
BRD-K84595254,,ATPase inhibitor,"ATP1A1, ATP1A2, ATP1A3, ATP1A4, ATP1B1",2.47220878851436
BRD-K85266041,DNQX,glutamate receptor antagonist,"GRIA1, GRIA2, GRIK1, GRIN1, GRIN2A, GRIN2B",5.0
BRD-K85883481,prednisone,glucocorticoid receptor agonist,"HSD11B1, NR3C1",5.0
BRD-K86509404,,CDK inhibitor,,5.0
BRD-K87696786,LY-456236,glutamate receptor antagonist,GRM1,5.0
BRD-K89046952,,bacterial cell wall synthesis inhibitor,,2.9288938956052
BRD-K89732114,trifluoperazine,dopamine receptor antagonist,"ADRA1A, CALM1, CALY, DRD2, DRD4, HRH1, HTR2A, HTR2C, S100A4, TNNC1",6.13503602616837
BRD-K89923877,scopolamine,acetylcholine receptor antagonist,,2.94278738702492
