pert_id,pert_dose,det_plate,BROAD_CPD_ID,CPD_NAME,CPD_TYPE,CPD_SMILES,pert_id_dose,pert_sample_dose,pert_type,control_type,moa,Compound_Category
BRD-K46678324-001-03-7,50.0,PAC001_U2OS_6H_X1_B1_UNI4445L,BRD-K46678324,RHO-kinase inhibitor II,BIO,Clc1cc(Cl)c(NC(=O)Nc2ccncc2)c(Cl)c1,BRD-K46678324_50.0,BRD-K46678324-001-03-7_50.0,trt,,rho associated kinase inhibitor,rho associated kinase inhibitor
BRD-K67860401-001-02-3,16.2,PAC001_U2OS_6H_X1_B1_UNI4445L,BRD-K67860401,GSK-3beta inhibitor VIII,BIO,COc1ccc(CNC(=O)Nc2ncc(s2)[N+]([O-])=O)cc1,BRD-K67860401_16.2,BRD-K67860401-001-02-3_16.2,trt,,glycogen synthase kinase inhibitor,CDK inhibitor
BRD-K68336408-001-03-4,15.8,PAC001_U2OS_6H_X1_B1_UNI4445L,BRD-K68336408,tyrphostin AG-1478,BIO,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,BRD-K68336408_15.8,BRD-K68336408-001-03-4_15.8,trt,,EGFR inhibitor,EGFR inhibitor
BRD-K72703948-001-01-0,10.0,PAC001_U2OS_6H_X1_B1_UNI4445L,BRD-K72703948,BRD-K72703948,BIO,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,BRD-K72703948_10.0,BRD-K72703948-001-01-0_10.0,trt,,Aurora kinase inhibitor,Aurora kinase inhibitor
BRD-K62008436-001-03-1,2.34218,PAC001_U2OS_6H_X1_B1_UNI4445L,BRD-K62008436,paclitaxel,BIO,CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,BRD-K62008436_2.34,BRD-K62008436-001-03-1_2.34,trt,,tubulin polymerization inhibitor,tubulin polymerization inhibitor
BRD-K62810658-001-05-6,18.707,PAC001_U2OS_6H_X1_B1_UNI4445L,BRD-K62810658,PD 98059,BIO,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,BRD-K62810658_18.71,BRD-K62810658-001-05-6_18.71,trt,,MEK inhibitor,MEK inhibitor
BRD-K63430059-001-03-2,10.0,PAC001_U2OS_6H_X1_B1_UNI4445L,BRD-K63430059,methoxsalen,BIO,COc1c2occc2cc2ccc(=O)oc12,BRD-K63430059_10.0,BRD-K63430059-001-03-2_10.0,trt,,DNA synthesis inhibitor,DNA inhibitor
BRD-K64862097-001-03-9,5.31263,PAC001_U2OS_6H_X1_B1_UNI4445L,BRD-K64862097,fluorometholone,BIO,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]2(C)C=CC(=O)C=C12,BRD-K64862097_5.31,BRD-K64862097-001-03-9_5.31,trt,,glucocorticoid receptor agonist,glucocorticoid receptor agonist
BRD-K71726959-001-05-9,15.3188,PAC001_U2OS_6H_X1_B1_UNI4445L,BRD-K71726959,N9-isopropylolomoucine,BIO,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc12,BRD-K71726959_15.32,BRD-K71726959-001-05-9_15.32,trt,,CDK inhibitor,CDK inhibitor
BRD-K72726508-001-01-3,10.0,PAC001_U2OS_6H_X1_B1_UNI4445L,BRD-K72726508,BRD-K72726508,BIO,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,BRD-K72726508_10.0,BRD-K72726508-001-01-3_10.0,trt,,CDK inhibitor,CDK inhibitor
