bead_batch,bead_revision,bead_set,cell_id,count_cv,count_mean,det_mode,det_plate,det_well,inf_model,mfc_plate_name,pert_dose,pert_dose_unit,pert_id,pert_id_vendor,pert_idose,pert_iname_x,pert_itime,pert_mfc_desc,pert_mfc_id,pert_time,pert_time_unit,pert_type_x,pert_vehicle,pool_id,provenance_code,qc_f_logp,qc_iqr,qc_slope,rna_plate,rna_well,x_amount_mg,x_annotation,x_avg_mol_weight,x_mg_per_ml,x_mmoles_per_liter,x_purity,x_smiles,x_volume_ul,pert_plate,batch,nearest_dose,brew_prefix,group_id,nsig,cc_q75,tas_q75,pert_iname_y,pert_type_y,moa,pert_id_dose,pert_type,control_type,Compound_Category
b27,r2,"dp52,dp53",A549,38,35,duo,REP.A001_A549_24H_X1_B27,E01,mlr12k,AB00016884,10.0,um,BRD-K26603252,HY-12013,10 uM,pd153035,24 h,PD153035 (HYDROCHLORIDE),BRD-K26603252-003-04-9,24,h,trt_cp,DMSO,epsilon,KMV+F2D+INO+QNO,7.0,8.24,55,REP.A001_A549_24H_X1,E01,0.052,ACCEPT,396.666,3.96666,10.0,98.35,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,13,REP.A001,REP.A,10.0,REP.A001_A549_24H,REP.A001_A549_24H:E01,6,0.1475,0.1724505,pd153035,trt_cp,EGFR inhibitor,BRD-K26603252_10,trt,,EGFR inhibitor
b27,r2,"dp52,dp53",A549,42,39,duo,REP.A001_A549_24H_X1_B27,E03,mlr12k,AB00016884,1.11111,um,BRD-K26603252,HY-12013,1.11 uM,pd153035,24 h,PD153035 (HYDROCHLORIDE),BRD-K26603252-003-04-9,24,h,trt_cp,DMSO,epsilon,KMV+F2D+INO+QNO,6.7,8.55,56,REP.A001_A549_24H_X1,E03,0.006,ACCEPT,396.666,0.4407399999999999,1.11111,98.35,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,13,REP.A001,REP.A,1.11,REP.A001_A549_24H,REP.A001_A549_24H:E03,6,0.1475,0.1724505,pd153035,trt_cp,EGFR inhibitor,BRD-K26603252_1.11,trt,,EGFR inhibitor
b27,r2,"dp52,dp53",A549,39,90,duo,REP.A001_A549_24H_X1_B27,E05,mlr12k,AB00016884,0.123457,um,BRD-K26603252,HY-12013,0.12 uM,pd153035,24 h,PD153035 (HYDROCHLORIDE),BRD-K26603252-003-04-9,24,h,trt_cp,DMSO,epsilon,KMV+F2D+INO+QNO,6.1,8.58,55,REP.A001_A549_24H_X1,E05,0.001,ACCEPT,396.666,0.0489711,0.123457,98.35,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,13,REP.A001,REP.A,0.12,REP.A001_A549_24H,REP.A001_A549_24H:E05,6,0.1475,0.1724505,pd153035,trt_cp,EGFR inhibitor,BRD-K26603252_0.12,trt,,EGFR inhibitor
b27,r2,"dp52,dp53",A549,38,74,duo,REP.A001_A549_24H_X1_B27,E06,mlr12k,AB00016884,0.0411523,um,BRD-K26603252,HY-12013,0.04 uM,pd153035,24 h,PD153035 (HYDROCHLORIDE),BRD-K26603252-003-04-9,24,h,trt_cp,DMSO,epsilon,KMV+F2D+INO+QNO,5.8,8.74,55,REP.A001_A549_24H_X1,E06,0.0,ACCEPT,396.666,0.0163237,0.0411523,98.35,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,13,REP.A001,REP.A,0.04,REP.A001_A549_24H,REP.A001_A549_24H:E06,6,0.1475,0.1724505,pd153035,trt_cp,EGFR inhibitor,BRD-K26603252_0.04,trt,,EGFR inhibitor
b27,r2,"dp52,dp53",A549,38,101,duo,REP.A001_A549_24H_X2_B27,E01,mlr12k,AB00016884,10.0,um,BRD-K26603252,HY-12013,10 uM,pd153035,24 h,PD153035 (HYDROCHLORIDE),BRD-K26603252-003-04-9,24,h,trt_cp,DMSO,epsilon,KMV+F2D+INO+QNO,6.4,7.83,55,REP.A001_A549_24H_X2,E01,0.052,ACCEPT,396.666,3.96666,10.0,98.35,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,13,REP.A001,REP.A,10.0,REP.A001_A549_24H,REP.A001_A549_24H:E01,6,0.1475,0.1724505,pd153035,trt_cp,EGFR inhibitor,BRD-K26603252_10,trt,,EGFR inhibitor
b27,r2,"dp52,dp53",A549,39,77,duo,REP.A001_A549_24H_X2_B27,E02,mlr12k,AB00016884,3.33333,um,BRD-K26603252,HY-12013,3.33 uM,pd153035,24 h,PD153035 (HYDROCHLORIDE),BRD-K26603252-003-04-9,24,h,trt_cp,DMSO,epsilon,KMV+F2D+INO+QNO,6.7,7.94,55,REP.A001_A549_24H_X2,E02,0.017,ACCEPT,396.666,1.3222200000000002,3.33333,98.35,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,13,REP.A001,REP.A,3.33,REP.A001_A549_24H,REP.A001_A549_24H:E02,6,0.1475,0.1724505,pd153035,trt_cp,EGFR inhibitor,BRD-K26603252_3.33,trt,,EGFR inhibitor
b27,r2,"dp52,dp53",A549,38,102,duo,REP.A001_A549_24H_X2_B27,E03,mlr12k,AB00016884,1.11111,um,BRD-K26603252,HY-12013,1.11 uM,pd153035,24 h,PD153035 (HYDROCHLORIDE),BRD-K26603252-003-04-9,24,h,trt_cp,DMSO,epsilon,KMV+F2D+INO+QNO,5.8,8.77,58,REP.A001_A549_24H_X2,E03,0.006,ACCEPT,396.666,0.4407399999999999,1.11111,98.35,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,13,REP.A001,REP.A,1.11,REP.A001_A549_24H,REP.A001_A549_24H:E03,6,0.1475,0.1724505,pd153035,trt_cp,EGFR inhibitor,BRD-K26603252_1.11,trt,,EGFR inhibitor
b27,r2,"dp52,dp53",A549,38,69,duo,REP.A001_A549_24H_X2_B27,E04,mlr12k,AB00016884,0.37037,um,BRD-K26603252,HY-12013,0.37 uM,pd153035,24 h,PD153035 (HYDROCHLORIDE),BRD-K26603252-003-04-9,24,h,trt_cp,DMSO,epsilon,KMV+F2D+INO+QNO,5.7,8.16,56,REP.A001_A549_24H_X2,E04,0.002,ACCEPT,396.666,0.146913,0.37037,98.35,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,13,REP.A001,REP.A,0.37,REP.A001_A549_24H,REP.A001_A549_24H:E04,6,0.1475,0.1724505,pd153035,trt_cp,EGFR inhibitor,BRD-K26603252_0.37,trt,,EGFR inhibitor
b27,r2,"dp52,dp53",A549,40,70,duo,REP.A001_A549_24H_X2_B27,E05,mlr12k,AB00016884,0.123457,um,BRD-K26603252,HY-12013,0.12 uM,pd153035,24 h,PD153035 (HYDROCHLORIDE),BRD-K26603252-003-04-9,24,h,trt_cp,DMSO,epsilon,KMV+F2D+INO+QNO,6.3,8.05,55,REP.A001_A549_24H_X2,E05,0.001,ACCEPT,396.666,0.0489711,0.123457,98.35,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,13,REP.A001,REP.A,0.12,REP.A001_A549_24H,REP.A001_A549_24H:E05,6,0.1475,0.1724505,pd153035,trt_cp,EGFR inhibitor,BRD-K26603252_0.12,trt,,EGFR inhibitor
b27,r2,"dp52,dp53",A549,39,66,duo,REP.A001_A549_24H_X2_B27,E06,mlr12k,AB00016884,0.0411523,um,BRD-K26603252,HY-12013,0.04 uM,pd153035,24 h,PD153035 (HYDROCHLORIDE),BRD-K26603252-003-04-9,24,h,trt_cp,DMSO,epsilon,KMV+F2D+INO+QNO,5.6,8.73,57,REP.A001_A549_24H_X2,E06,0.0,ACCEPT,396.666,0.0163237,0.0411523,98.35,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,13,REP.A001,REP.A,0.04,REP.A001_A549_24H,REP.A001_A549_24H:E06,6,0.1475,0.1724505,pd153035,trt_cp,EGFR inhibitor,BRD-K26603252_0.04,trt,,EGFR inhibitor
