feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127
-3.4165425,-4.8179154,-1.1158682,3.285014,-4.9033775,6.58652,2.9046416,0.4389935,0.88655525,-2.794558,-0.047920447,2.4435723,-1.6721116,-2.9354775,3.4521224,1.0325168,0.077345476,-0.030121092,1.0727879,-1.8624684,-4.3712926,4.0570517,2.002859,5.8935714,-3.5345774,4.839398,-1.9626248,0.7133125,-1.4707532,-0.97150576,-2.314089,1.287673,-1.6566021,-0.37703463,0.04592079,0.43063462,-2.3764274,0.62284696,-3.306517,5.815962,3.2229438,-4.473941,-0.58058065,-0.37644526,-3.1262147,-3.8097796,5.2917113,-1.8196356,-1.3911551,-5.983079,-0.84668815,2.5945337,0.78257143,2.9005022,1.0527456,3.2719417,-2.022627,0.9391421,1.5448215,3.2923505,1.3841693,2.643845,1.7549956,0.24556144,0.6395133,2.3958735,3.961971,3.4565556,1.0265564,-1.3123571,1.5310354,0.15684646,0.23748028,-1.1814325,2.606476,-0.82913834,0.33439636,-1.0596982,-0.15375717,-2.8502898,0.9231061,-0.52454233,-1.0769742,2.6965616,2.032823,-2.15712,0.35433483,3.1974456,-4.7109895,-0.37674293,-3.626411,-0.39236712,2.312737,-3.239572,0.037559893,-6.040357,-2.4596584,3.0896833,-7.1015625,-5.642936,-4.849321,-0.24256542,3.0005808,-0.84856546,-2.9279144,0.46845272,-4.3874927,1.4344908,1.3994318,2.416412,-0.24589127,-3.3766353,0.25866038,-6.663592,-2.3541975,5.6382647,-2.4301171,0.6857532,1.2489288,1.9169629,2.3108523,5.648039,0.80972594,-2.7450726,-2.5744104,4.317278,-2.2139702,-3.6726332
-0.48365572,1.7796205,0.3270021,-0.3592402,-0.25828478,2.5555813,1.3161427,0.462898,-0.37282866,-0.28144643,-0.4978851,-1.7067099,1.6878057,0.3508421,1.4415773,1.0962917,-0.16522296,-1.5113019,0.9963399,2.185067,1.0903714,-0.053145982,-2.3989685,1.6503675,0.4093707,0.41852367,-1.0723966,0.0106033385,-2.131567,-1.5897722,0.15387453,-2.4503458,0.6966791,0.82083535,-1.0412812,-0.7785079,-0.94721335,2.2870762,0.11366239,1.3464493,0.43412945,1.8180132,0.3919061,-2.762814,-0.57069296,-0.018472668,0.23235452,-0.7362858,2.0062025,-1.9220064,-0.87667537,-0.2299995,-1.7680565,1.647153,2.3356888,0.9839891,-0.81046283,1.2735823,-0.7026372,0.632021,-0.4653442,-0.16806307,0.53524363,-0.75740457,0.39363346,1.1465862,1.7875757,-1.2380099,0.8492506,-0.71775293,-1.1848247,-0.73086995,0.813048,2.6368363,0.17300779,1.3212774,-0.78157246,-0.18328275,-0.13535002,1.0975027,0.09310647,-0.19330886,0.9713963,-2.639724,0.17519584,-1.490627,0.34156817,0.59418607,-0.08778031,2.4022112,0.7099052,-1.0498697,-0.19656329,-1.0357249,0.88953304,0.14761409,1.5241561,-0.7532844,-1.4149356,0.34382957,-2.5504313,1.4727948,0.42505708,1.6968883,1.1968335,-2.0173593,0.9717597,-0.27480775,1.1135424,0.700914,2.050974,0.12058832,-0.20453382,-2.9704332,0.93632835,0.78544384,0.8499905,1.1360549,2.2574558,-0.17846654,1.9426621,1.2537594,3.1605623,-0.92886627,-0.48469526,2.9791188,-1.6995186,0.96229154
-1.4209218,2.82218,5.517691,2.812088,0.5037962,-1.2197509,-0.6965011,3.3488154,0.9347056,0.7802326,-2.4124026,-0.83940154,0.9588379,-3.603619,-1.9846885,1.0425125,-4.03519,-1.956671,2.9953237,0.95900387,1.8182745,-3.5320141,1.8586372,3.32142,-0.8811766,1.9770083,-0.2965123,3.2323287,-1.5093591,-2.9797904,-0.31206876,-0.28070834,0.110282645,-3.338836,-4.536663,-0.81365216,1.2118251,0.3470435,1.42639,-1.1640732,5.1558223,-2.0023181,3.7121053,-4.8359303,-2.5983253,-3.5134435,-5.4839664,-4.088473,2.435018,-2.6487777,-0.5857931,2.4837234,0.38674945,2.1199808,1.3012437,2.5616739,1.2627883,-2.297097,0.06833647,-2.7025383,0.17166018,1.3977724,4.5710464,-0.21254127,0.32308096,1.066897,1.974293,-1.960689,0.30507216,-0.7705291,0.58927596,-2.7954466,-3.6249635,0.8332503,-5.2790346,-1.8174006,-4.2502213,-5.0085826,2.6837494,6.228017,-5.8051186,-1.551595,-1.7057487,-0.0347625,0.5209889,6.006053,2.5187395,-3.6981478,-1.988543,0.99656975,-2.9694571,2.0827866,-2.385711,-1.9244013,-4.0386944,-3.1195,5.8059926,1.9244908,-0.63982594,-2.979878,-0.435799,-1.6314598,-0.95667356,0.69008166,-0.6339206,1.3117068,3.2700968,2.4238546,2.2598052,-0.672453,-5.5156527,-2.4347796,0.24538887,0.29338562,-0.17989,4.0140705,-1.0840915,1.0995017,3.882068,-2.355491,0.00927417,2.6834445,-2.4880898,-2.0835583,0.37771505,4.492713,-5.565712,-6.447087
-1.1493688,0.72267205,1.5197437,-0.35335773,-0.6927095,0.4436186,2.5461488,1.8405524,0.20662826,-0.33388597,0.014252111,0.4361665,1.3182229,-1.4810553,1.0504041,1.3184314,0.21322313,-2.1594214,0.49042833,0.5289076,0.9509725,1.2495773,-1.2111291,0.09174676,0.8250521,0.69974387,-1.5349119,0.6217358,-1.5432657,-0.8299396,-0.112669684,-3.482028,-0.013397656,1.0070162,-1.353861,0.4918007,-0.74562526,-0.06805446,1.6133475,0.010755573,1.5620039,1.332137,1.3353512,-1.7595024,0.6835956,-0.8577359,-0.22337817,-0.33952248,1.4708915,-2.703723,-1.8415042,0.63882804,0.2876585,0.88194907,1.4286302,-1.4410676,-0.49880785,0.6840323,-0.24577746,0.021647245,1.2357057,0.12330818,0.643758,0.52642566,0.09662204,0.38762796,1.2600087,-1.9480548,1.3545291,0.6213296,-1.1888072,-1.6178889,0.8465355,3.644687,0.4111616,0.4443919,-1.4575777,0.6698646,-0.68343747,0.8456416,0.3946756,-0.12764269,0.6023611,-0.48512915,-1.095917,-0.10166283,0.49992228,0.7104805,-1.451017,4.348637,-0.15940094,1.4150343,-0.0017537661,-0.8415063,0.5071308,-0.98491824,1.5311308,-0.0806532,-2.9048743,-1.0304061,-0.6443818,0.29897186,-2.0513818,0.9906854,1.0691686,-0.4290402,1.110593,-1.598097,1.1505597,1.1383665,1.5587724,0.045511246,-2.194303,-1.8972185,0.7434357,0.021552134,0.1977463,0.79798466,1.1015046,-0.780892,1.5617629,0.30811763,2.0278094,-0.24880455,-1.5809344,1.2237031,-0.82415324,2.3089018
0.7739001,1.0654038,-1.7804174,-0.11329383,0.1916087,-0.28013492,-0.98840684,-0.806906,-0.2146052,1.2064246,1.2942729,-0.40889612,0.6555513,0.14414246,0.5108738,-0.106282115,1.2445633,1.7861867,-1.6780974,0.21511295,-0.009119719,-0.09197541,-0.8111347,0.8085512,-0.63647574,-0.20200768,0.60183775,0.00027140975,-1.2155538,-0.54448617,0.8420495,0.32124004,0.9172659,-0.38172466,0.532321,0.24694397,-0.8194842,0.05226992,-0.5279522,1.5769349,-0.43306,0.18222049,-1.0438323,0.39485666,-0.42209464,0.047447152,0.2984717,0.62820524,-0.5142436,-1.9901458,-0.29416478,-0.42912957,-1.1051557,0.5581021,0.75873977,0.14057983,-0.415493,0.7291713,-0.23725204,1.8573346,0.47130677,0.20091467,0.21472013,-1.8621715,0.4989224,0.037397593,-0.43742907,-0.8367925,-0.64139307,0.38236964,0.63846266,0.1818109,-0.02273184,-0.1315335,0.9097363,-0.3794805,-1.085007,1.3443059,-0.20705315,-0.25752673,0.22293551,0.35756555,-0.10972213,-0.41420686,-0.6676291,0.7760197,0.5208764,0.9377964,-0.65148234,-0.7333715,0.08405508,0.212495,1.7322367,0.19472294,-0.52864903,-0.8071177,-0.084787674,0.09878679,-0.7363959,0.36318427,-0.85409516,0.67584634,1.495795,-0.19301936,-0.15993352,0.40271157,-0.5414235,0.8904344,-0.3059842,-1.8444102,-0.02133692,-0.61661136,-1.096501,-0.67716664,-0.17840585,-0.08407375,1.063555,0.34179994,0.99664575,0.5911906,-1.2679547,0.61266065,1.5801973,0.011833072,-0.016334083,1.367806,-1.7555172,1.4569124
-0.9238565,-1.2094643,-0.7199033,-0.48798466,-1.6042839,0.61405754,2.6823242,1.379157,0.18097432,-2.7398014,-0.3242291,-1.1077337,-0.6789848,-1.2886736,-0.2937749,1.2364368,-0.25964904,-2.0930676,-0.31999397,1.1211034,-0.79876083,-1.5516714,0.8011765,0.9688173,1.7354182,-0.108351946,1.8929181,-2.0594995,2.249376,2.0274847,0.44829285,1.5722553,-0.30747104,-0.25567722,0.941678,0.7092153,-0.6351825,1.0798067,0.51912147,-1.9245893,-2.0137396,0.15157104,0.5260148,0.9141996,-1.7438166,2.3669946,1.9693365,0.9896796,-0.3365786,-0.5426276,-0.8058211,-1.0752685,0.1559188,-0.38678652,-1.0066628,-0.54512805,1.6904067,1.7193749,-2.0875063,0.74271417,-2.2712524,-1.4767917,-1.00697,0.25240466,-0.61613244,1.0859327,0.47170556,-3.0686228,-0.7856491,-0.9486342,1.6951027,-0.6023014,-0.098345056,0.46979997,1.0327941,-0.85436666,0.23204604,0.5561527,-1.4583383,-0.46032524,1.3735665,-1.1816102,1.7858422,-0.28426155,-0.03854257,0.27566442,-1.0887394,1.4208144,3.141262,0.54364145,-2.0263696,0.087900296,-2.4244628,0.6960306,0.13001414,1.4128169,-2.3056726,-0.73420227,0.55959916,0.019577533,1.5621204,-0.908147,-1.2761211,0.03855619,-0.17879497,-1.3033382,-0.30105165,2.2921126,1.1523272,1.5177767,-0.035486218,-1.0151119,0.006475538,-0.32208622,-1.483398,-1.0334522,0.17004123,-1.5888709,-0.9408805,-1.9411691,1.4088737,1.0744729,-1.7872295,-0.70800185,-0.85217893,-1.7825786,1.4306774,1.1971612
0.79848826,1.689051,-2.5132005,-2.3883755,-0.71461254,0.8999946,1.3782403,-1.370493,0.057109535,-0.79228836,4.556583,0.327657,0.7474549,2.811801,-0.28092963,3.9383402,0.61922616,0.63313097,-0.02328394,0.1211793,-1.3676943,-0.27780724,-1.2576557,0.35494918,3.1958632,0.6389495,0.66225547,-3.3783987,-1.5240239,-0.2226481,2.6612854,1.0274189,-0.19545971,-3.0903893,-0.38083714,-1.2156568,-0.36688432,0.28930846,-1.4081793,-1.5785755,-1.8835635,0.61241555,-1.9094168,2.1493206,-2.1308033,1.9693255,3.3328512,0.70036185,2.5267875,-1.8159628,2.1318362,-1.2198079,-1.5076382,-0.10180553,-2.7045984,0.4278189,-0.54667294,5.5886745,-1.0259744,3.72701,0.8372652,-1.8754042,1.0973045,-2.0198257,0.5952678,-1.4569494,-0.5130911,-2.9215314,-2.9843452,-1.8689301,0.37779203,1.9151461,-1.9293824,-0.4377574,1.9240355,-2.9560852,0.6751577,2.5356793,1.3564739,1.4962791,2.5875173,-0.3280921,1.329697,-2.5810316,0.002824694,0.81912637,2.1830404,3.3211138,1.7289792,-1.2903378,-3.1363587,0.93081087,-0.5870007,-1.1130223,0.7394911,0.43159467,-0.87671894,-0.0693375,0.010410657,1.4259585,-2.5737596,4.010114,-0.29065195,-0.10449119,-1.217663,-1.1959722,-0.099299826,0.8778505,-1.3936806,-0.057676237,-1.9826066,-1.6620314,0.026193965,-0.19109689,-3.0734367,0.7574588,0.2253158,-2.3691046,0.8018462,2.1697576,0.42265838,1.1439735,0.16859579,-0.06839867,2.1767063,-1.3540729,-2.809726,0.2423942
0.49706188,-1.0091951,2.4750302,3.7288766,0.5437263,1.1099677,0.5417213,-0.35043675,-1.2391229,2.978797,0.06539691,0.7541365,-1.4704218,2.5215042,-4.2476115,3.3590693,-0.508403,0.9921706,2.085803,3.4563086,-0.3861448,-2.6422956,-1.7052131,0.32202467,2.442192,0.8069198,1.480665,-2.2836792,1.3592471,-0.3460188,1.416198,1.3276408,-1.5810231,-3.5154324,5.731737,1.0717877,1.9564624,-3.5664902,-1.921219,-2.974219,1.314039,0.036711656,1.4565271,1.7867826,-2.4523463,0.41506216,1.9366572,0.43635643,0.020132639,1.2333343,-0.15210748,-1.0764388,0.5278522,1.0972286,-1.0920453,-1.9426414,3.2879698,1.5992066,-1.7388109,1.9058628,1.5017867,2.003658,-2.6449528,-0.94806886,3.5924637,-3.53356,-1.7218206,1.6753602,-1.0873269,0.40001696,-0.7850984,3.0449362,-0.84128565,-3.6957037,0.63878757,-0.43301305,1.7094043,2.0822663,1.5900398,-0.15392806,1.5726305,1.4674141,-0.22665715,-1.3784951,-0.054460704,1.059218,4.277707,-0.65816736,2.8627324,-3.737774,-2.9734201,1.1885654,-1.0115751,0.68882096,-1.2362247,2.380057,0.6072948,0.7156788,3.9895205,-1.6189172,-0.3569297,-1.6081451,3.0570214,-0.33406067,1.6348039,-1.085288,2.3839772,2.5646503,-0.93305665,-0.33004364,-4.088154,-0.34065324,0.779292,-3.1879573,1.4113955,-0.17175022,0.8594256,1.1068909,-1.3852191,1.0761979,-4.058261,0.81493485,-0.5108909,-1.4491249,1.9782939,-2.05991,-0.03519556,-0.14891094
-0.945667,0.503763,-1.5298009,-1.4449446,2.313277,1.4568386,-0.04869612,-0.2852765,-0.084690526,-0.43393567,0.50226766,-0.64097345,0.1998348,0.34716794,0.6961109,-2.0642242,1.0578831,0.32286155,-1.6042652,-0.18836556,-0.0846557,-0.32738313,-0.8713729,0.38869596,-1.737622,-0.23118106,0.9577243,-0.20949487,0.40824547,-1.038412,-1.4821168,0.031588778,0.025624577,1.4988147,0.3427497,0.12288708,0.20463161,1.1558901,-2.307056,2.0781841,-1.611967,0.12916018,-0.39222613,-0.8900294,-0.30296785,1.2525115,0.7183738,0.3926813,-0.6667007,-0.45667636,0.14876184,-0.95934474,-0.20550945,-0.059567258,-0.047036394,-1.0717115,-1.772645,1.0012683,-0.18718357,-0.54521227,-1.3239222,-1.668977,-1.5398518,1.05656,0.27019837,0.99560136,-0.16825579,1.8462627,-0.33975893,-0.6121284,-1.4448148,-0.8832833,2.1975741,-0.34867427,2.5123236,1.8987914,1.0280483,1.0568361,0.78783894,-1.7151254,0.6755577,0.57617384,0.17592889,-0.92608047,-0.14211239,-1.1590319,-0.51762843,0.025361644,-0.36736006,-0.4827763,1.0096974,-1.1156355,2.037691,0.89264196,0.36857045,-0.57865155,-0.6679806,-1.0086064,0.8380667,1.3123707,-0.25283653,0.47747892,0.30635256,0.45766813,-1.1087818,-0.24298324,-1.2729499,-0.5409731,1.5450268,-1.1957374,0.997887,0.59934723,0.32647103,-0.28571594,0.6272986,0.13435711,0.095071554,0.01974057,1.5197704,1.4354181,0.3196593,-1.5829289,1.0027043,-1.2484795,-0.16719219,-0.166573,-0.4732709,0.7110269
2.0428243,1.9453176,-0.9745392,-0.2639871,-0.7671079,-1.7837492,0.20938241,-2.1660404,-1.0829841,1.5239012,0.5336484,-0.44602713,0.72803134,0.48878792,-2.1544063,-0.3825685,1.2064608,0.42350188,-2.1910405,1.1943303,-0.18218571,0.36437184,0.10659681,0.5082241,0.7422534,-1.3336656,0.12182589,-1.4021149,-1.6207589,-1.0467396,0.7288559,-0.7321233,0.31271893,0.32282957,0.45151937,-1.0408877,-0.7823351,0.15534942,-1.0589586,0.32450306,-0.03226927,1.2166085,-0.108992174,0.012127548,-0.3973119,-0.77001905,-0.16604975,-1.0021087,1.669878,-1.4943347,-0.7441374,-0.8477263,-0.3261863,1.3095216,1.3945532,1.7921104,-1.2579318,0.18588689,0.5185444,0.6599004,2.0860233,-0.42882955,-0.563599,-1.6453516,0.25449705,0.49252677,0.43334803,-0.0019722786,0.34817183,-0.02500219,-0.58976245,1.0014789,0.8819307,0.6982768,-0.42309046,-0.289149,-1.1420583,1.2276099,0.47599578,0.1714907,-0.1872009,0.87151223,-1.2914051,-0.41924512,-0.6513909,-0.22526625,1.7595145,0.58331937,-0.5534953,0.29539523,-1.0870166,0.89927274,1.114791,0.08916241,-1.2010652,0.045715943,1.0020423,-0.10715157,-1.7405105,0.49525827,0.20659825,-0.48398018,1.9719307,0.7007004,-1.9928458,0.21714848,-0.09456152,-0.28214484,-0.78050584,0.8439215,0.8227968,0.12934887,-0.7864488,-0.002516687,-0.019871552,-1.076162,1.2057636,1.1567272,0.4496351,0.92901427,-0.77283245,-0.8159902,1.3600483,-0.10192542,-0.52698934,0.40737396,-3.4394925,-0.23782584
