Plate,Well,Name,Concentration,isHit,Prediction_1,Neighbor_1,Distance_1,Confidence_1,Prediction_2,Neighbor_2,Distance_2,Confidence_2,Prediction_3,Neighbor_3,Distance_3,Confidence_3,Prediction_4,Neighbor_4,Distance_4,Confidence_4,Prediction_5,Neighbor_5,Distance_5,Confidence_5,Prediction_6,Neighbor_6,Distance_6,Confidence_6,Prediction_7,Neighbor_7,Distance_7,Confidence_7,Prediction_8,Neighbor_8,Distance_8,Confidence_8,Prediction_9,Neighbor_9,Distance_9,Confidence_9,Prediction_10,Neighbor_10,Distance_10,Confidence_10,Prediction_11,Neighbor_11,Distance_11,Confidence_11,Prediction_12,Neighbor_12,Distance_12,Confidence_12
2013002124,N-20,143241,1,1,Actin,LatA_2,0.787455705900787,0.594905998433587,AuroraB,ZM447439_2,1.22780409126084,0.0480770801697771,DNA,CPT_1,1.732021474172,0.00505403206589341,Proteasome,MG-115_3,1.89026135096806,0.00284343023822104,HDAC,Apicidin_3,2.04069986988749,0.0015861794326366,DMSO,DMSO,2.23226131610941,0.000707141982453892,ER,Tunicamycin_2,2.46395855159927,0.000261753330338521,MT,EpothiloneB_7,2.74644354056196,8.26343454574612e-05,mTOR,Rapamycin_7,2.81749826956772,6.25717442928109e-05,PLK,BI2536_1,2.93578924508473,3.99358457530878e-05,Hsp90,SNX-2112_4,3.47653609523015,6.51260130471608e-06,N/A,N/A,NaN,NaN
2013002130,O-4,3053,3,1,Actin,LatA_2,0.916422850304626,0.318474416900287,AuroraB,ZM447439_2,1.13235825542316,0.084578947219489,Proteasome,PS-341_5,1.19159095339239,0.0592843909270043,DNA,CPT_2,1.39848740292126,0.0196558616740066,HDAC,Apicidin_3,2.13575938221754,0.00106920848876434,DMSO,DMSO,2.30849265208082,0.000508583616794059,ER,Tunicamycin_2,2.32172454297843,0.00048034676846152,mTOR,Rapamycin_7,2.39546451773632,0.000349971931068261,Hsp90,AUY922_5,3.02013028754443,2.93736880926388e-05,PLK,BI2536_1,3.02119187513061,2.92625830109609e-05,MT,EpothiloneB_7,3.17205358132926,1.74054023901466e-05,N/A,N/A,NaN,NaN
2013002130,K-17,732517,3,1,Actin,CytD_3,1.0295320929821,0.160422999879277,AuroraB,ZM447439_2,1.94364341843413,0.00232504307416566,Proteasome,PS-341_1,2.15340500939507,0.000992057093921421,DNA,CPT_1,2.43569605762492,0.000294935610590162,HDAC,SAHA_2,2.45081281844315,0.000276670486644131,MT,EpothiloneB_7,2.85565932664457,5.40208215406663e-05,PLK,BI2536_1,3.03219360501433,2.81384294232401e-05,ER,Tunicamycin_2,3.10141198082897,2.20968266489954e-05,DMSO,DMSO,3.29588344896241,1.1628969808852e-05,mTOR,Rapamycin_7,3.35315763009595,9.68346509260004e-06,Hsp90,AUY922_5,3.91868291249994,1.41587871560655e-06,N/A,N/A,NaN,NaN
2013002124,P-3,607097,1,1,Actin,LatA_2,1.03119208313703,0.158762603488865,Proteasome,PS-341_5,1.05869625786087,0.133612006967608,DNA,CPT_1,1.08848639130169,0.110904937115241,AuroraB,ZM447439_2,1.15131123058764,0.0753737708978447,DMSO,DMSO,2.10879414457034,0.00119779738223893,ER,Tunicamycin_2,2.3213869325707,0.000481046953760037,HDAC,Apicidin_3,2.38491537286449,0.000366108899076297,mTOR,Rapamycin_7,2.50858368094935,0.000217115996035207,PLK,BI2536_1,3.07728185501577,2.40173525169189e-05,MT,EpothiloneB_7,3.16946775825852,1.75558067253352e-05,Hsp90,SNX-2112_4,3.21475822410617,1.51187653650432e-05,N/A,N/A,NaN,NaN
2013002121,F-14,349156,1,1,Actin,LatA_2,1.04613516101729,0.144562596657975,AuroraB,ZM447439_2,1.13877987808395,0.0813286727250273,DNA,CPT_1,1.54144341265183,0.0104450598955699,Proteasome,MG-115_3,1.76111288279609,0.00454984324005379,HDAC,Apicidin_3,1.93488919318016,0.00240405616510674,ER,Tunicamycin_2,1.99205893151259,0.00192659361476578,DMSO,DMSO,2.14084916946469,0.00104640427711297,mTOR,Rapamycin_7,2.4038388629304,0.000337688961740185,MT,EpothiloneB_7,2.75675734264404,7.93383425357451e-05,PLK,BI2536_1,2.94270496719917,3.89255744385128e-05,Hsp90,AUY922_5,3.00463551017712,3.10513776999872e-05,N/A,N/A,NaN,NaN
2013002121,G-15,26980,1,1,Actin,LatA_2,1.08537982002091,0.11307399145032,DNA,CPT_2,1.18048714663867,0.0632975459738327,AuroraB,ZM447439_2,1.23183222398104,0.0469880465497764,Proteasome,MG-115_3,1.26506067769071,0.0390220018668599,ER,Tunicamycin_2,1.74357461459118,0.00484713930172219,DMSO,DMSO,1.95258539079431,0.00224661944218781,HDAC,Apicidin_3,1.98354743466852,0.00199212675468636,mTOR,Rapamycin_7,2.28477631056319,0.000563485471386777,Hsp90,SNX-2112_4,2.96376793337655,3.60201182599901e-05,MT,EpothiloneB_7,3.22538092121895,1.46031556611934e-05,PLK,BI2536_1,3.23371841177276,1.4211988115044e-05,N/A,N/A,NaN,NaN
2013002124,I-18,345845,1,1,Actin,LatA_2,1.09637001476606,0.105595498075779,AuroraB,ZM447439_2,1.30610010270882,0.0312756105104898,Proteasome,AclacinomycinA_3,1.95006274480787,0.00226851882946716,DNA,CPT_1,1.99379586427649,0.00191344841835411,HDAC,Apicidin_3,2.16288067095057,0.000952788725781009,mTOR,Rapamycin_7,2.26118426218804,0.000624026451548639,ER,Tunicamycin_2,2.4210393391479,0.000313853857410881,DMSO,DMSO,2.61121460161735,0.000142221526469081,Hsp90,AUY922_5,2.7577310646527,7.90344970085129e-05,MT,EpothiloneB_7,2.81292664557467,6.36906255876209e-05,PLK,BI2536_1,2.86163951346251,5.27999337987248e-05,N/A,N/A,NaN,NaN
2013002128,A-19,747971,1,1,Actin,LatA_2,1.11235387412699,0.0956415781482351,AuroraB,ZM447439_2,1.45108052495659,0.0153989903610561,Proteasome,PS-341_5,1.52796446237467,0.0110424481378948,DNA,CPT_2,1.60530716304718,0.00810035554676351,ER,Tunicamycin_2,1.74777912904832,0.00477407848866896,HDAC,Apicidin_3,1.86906100941755,0.00307541234606858,DMSO,DMSO,2.38036915344706,0.000373300328040204,mTOR,Rapamycin_7,2.59230448376123,0.000153640427787881,MT,EpothiloneB_7,3.05390013628034,2.60616364199428e-05,PLK,BI2536_1,3.06392224660062,2.51621023759647e-05,Hsp90,SNX-2112_4,3.38989640166612,8.61109466505725e-06,N/A,N/A,NaN,NaN
2013002114,B-13,177989,1,1,Actin,LatA_2,1.12567172764987,0.0881143506938465,AuroraB,ZM447439_2,1.26314654241133,0.0394355071941751,DNA,CPT_1,1.63303173477326,0.00728396183178786,Proteasome,MG-115_3,2.00305357199029,0.00184465101288705,DMSO,DMSO,2.09037305299998,0.00129351089010034,ER,Tunicamycin_2,2.49742610600989,0.000227467470646246,HDAC,Apicidin_3,2.54244960214763,0.000188627568253376,MT,EpothiloneB_7,2.5870401573051,0.000156988872968214,mTOR,Rapamycin_7,2.68414552472226,0.000105898365014094,PLK,BI2536_1,2.92987154972599,4.08235684168431e-05,Hsp90,SNX-2112_4,3.32427789845817,1.06189251426746e-05,N/A,N/A,NaN,NaN
2013002128,G-19,760766,1,1,Actin,LatA_2,1.13964580790389,0.0809010679086765,AuroraB,ZM447439_2,1.41180403257304,0.0184529298328615,DNA,CPT_2,1.5542076550039,0.00991574035770055,HDAC,Apicidin_3,1.69679742084075,0.0057453921163021,Proteasome,MG-115_3,1.72695050320153,0.00514774875005235,ER,Tunicamycin_2,1.77656970398797,0.00430320842889439,DMSO,DMSO,1.97408068316487,0.00206721789134249,mTOR,Rapamycin_7,2.36012007037831,0.000407159303995265,Hsp90,SNX-2112_4,2.85710294372735,5.37233661758115e-05,MT,EpothiloneB_7,3.17590181998718,1.71842285864728e-05,PLK,BI2536_1,3.3198864806552,1.07690353276473e-05,N/A,N/A,NaN,NaN
