Compound,Compound_Category,Dose
105D,tubulin polymerization inhibitor,12
Amanitin,RNA polymerase inhibitor,12
Actinomycin D,RNA polymerase inhibitor,12
ALLN,proteasome inhibitor,12
Alsterpaullone,CDK inhibitor,12
Anisomycin,protein synthesis inhibitor,12
Camptothecin,DNA inhibitor,12
Chelerythrine,PKC inhibitor,12
Colchicine,tubulin polymerization inhibitor,12
Cycloheximide,protein synthesis inhibitor,12
Cytochalasin D,Actin,12
Doxorubicin,DNA inhibitor,12
Emetine,protein synthesis inhibitor,12
Etoposide,DNA inhibitor,12
Griseofulvin,tubulin polymerization inhibitor,12
Hydroxy urea,DNA inhibitor,12
Ibuprofen,cyclooxygenase inhibitor,12
Indirubin monoxime,CDK inhibitor,12
Indomethacin,cyclooxygenase inhibitor,12
Jasplakinolide,Actin,12
Lactacystin,proteasome inhibitor,12
Latrunculin B,Actin,12
MG132,proteasome inhibitor,12
Nocodazole,tubulin polymerization inhibitor,12
Olomucine,CDK inhibitor,12
PMA,PKC inhibitor,12
Podophyllotoxin,tubulin polymerization inhibitor,12
Purvalanol A,CDK inhibitor,12
Rapamycin,mTOR inhibitor,12
Roscovitine,CDK inhibitor,12
ICRF193 (C4 only),DNA inhibitor,12
Sulindac sulfide,cyclooxygenase inhibitor,12
Taxol,tubulin polymerization inhibitor,12
Trichostatin,HDAC inhibitor,12
U0126,MEK inhibitor,12
Vinblastine,tubulin polymerization inhibitor,12
Wortmannin,PI3K inhibitor,12
Cytochalasin B,Actin,12
Chloropromazine,dopamine receptor antagonist,12
PD98059,MEK inhibitor,12
Clozapine,dopamine receptor antagonist,12
Trifluoperazine,dopamine receptor antagonist,12
LY294002,PI3K inhibitor,12
Sodium butyrate,HDAC inhibitor,12
Niflumic acid,cyclooxygenase inhibitor,12
Fluobiprofen,cyclooxygenase inhibitor,12
Scriptaid,HDAC inhibitor,12
SC560,cyclooxygenase inhibitor,12
Apicidin,HDAC inhibitor,12
Epothilone B,tubulin polymerization inhibitor,12
Oxamflatin,HDAC inhibitor,12
SC236,cyclooxygenase inhibitor,12
SB203580,MEK inhibitor,12
Aphidicolin,DNA inhibitor,12
PD169316,MEK inhibitor,12
Methotrexate,DNA inhibitor,12
Ceramide,PKC inhibitor,12
Leupeptine,proteasome inhibitor,12
Zvad,proteasome inhibitor,12
105D,tubulin polymerization inhibitor,12
Amanitin,RNA polymerase inhibitor,12
Actinomycin D,RNA polymerase inhibitor,12
ALLN,proteasome inhibitor,12
Alsterpaullone,CDK inhibitor,12
Anisomycin,protein synthesis inhibitor,12
Camptothecin,DNA inhibitor,12
Chelerythrine,PKC inhibitor,12
Colchicine,tubulin polymerization inhibitor,12
Cycloheximide,protein synthesis inhibitor,12
Cytochalasin D,Actin,12
Doxorubicin,DNA inhibitor,12
Emetine,protein synthesis inhibitor,12
Etoposide,DNA inhibitor,12
Griseofulvin,tubulin polymerization inhibitor,12
Hydroxy urea,DNA inhibitor,12
Ibuprofen,cyclooxygenase inhibitor,12
Indirubin monoxime,CDK inhibitor,12
Indomethacin,cyclooxygenase inhibitor,12
Jasplakinolide,Actin,12
Lactacystin,proteasome inhibitor,12
Latrunculin B,Actin,12
MG132,proteasome inhibitor,12
Nocodazole,tubulin polymerization inhibitor,12
Olomucine,CDK inhibitor,12
PMA,PKC inhibitor,12
Podophyllotoxin,tubulin polymerization inhibitor,12
Purvalanol A,CDK inhibitor,12
Rapamycin,mTOR inhibitor,12
Roscovitine,CDK inhibitor,12
ICRF193 (C4 only),DNA inhibitor,12
Sulindac sulfide,cyclooxygenase inhibitor,12
Taxol,tubulin polymerization inhibitor,12
Trichostatin,HDAC inhibitor,12
U0126,MEK inhibitor,12
Vinblastine,tubulin polymerization inhibitor,12
Wortmannin,PI3K inhibitor,12
Cytochalasin B,Actin,12
Chloropromazine,dopamine receptor antagonist,12
PD98059,MEK inhibitor,12
Clozapine,dopamine receptor antagonist,12
Trifluoperazine,dopamine receptor antagonist,12
LY294002,PI3K inhibitor,12
Sodium butyrate,HDAC inhibitor,12
Niflumic acid,cyclooxygenase inhibitor,12
Fluobiprofen,cyclooxygenase inhibitor,12
Scriptaid,HDAC inhibitor,12
SC560,cyclooxygenase inhibitor,12
Apicidin,HDAC inhibitor,12
Epothilone B,tubulin polymerization inhibitor,12
Oxamflatin,HDAC inhibitor,12
SC236,cyclooxygenase inhibitor,12
SB203580,MEK inhibitor,12
Aphidicolin,DNA inhibitor,12
PD169316,MEK inhibitor,12
Methotrexate,DNA inhibitor,12
Ceramide,PKC inhibitor,12
Leupeptine,proteasome inhibitor,12
Zvad,proteasome inhibitor,12
