UsedWells,Cell_Line,Compound,Compound_Category,Dose_Category,Dose,Compound_Usage,Target,Pathway,RowID,ColID,WellID,Markers,PlateID
1.0,786-0,Alisertib (MLN8237),Aurora kinase inhibitor,2.0,5.0,query_cpd,Aurora Kinase,Cell Cycle,1.0,6.0,1-6,CellPainting,2021018038.0
1.0,786-0,Panobinostat (LBH589),HDAC inhibitor,2.0,5.0,query_cpd,HDAC,Epigenetics,1.0,7.0,1-7,CellPainting,2021018038.0
1.0,786-0,SNS-314 Mesylate,Aurora kinase inhibitor,2.0,5.0,query_cpd,Aurora Kinase,Cell Cycle,1.0,10.0,1-10,CellPainting,2021018038.0
1.0,786-0,ZM 447439,Aurora kinase inhibitor,2.0,5.0,query_cpd,Aurora Kinase,Cell Cycle,1.0,21.0,1-21,CellPainting,2021018038.0
1.0,786-0,Etoposide,topoisomerase inhibitor,2.0,5.0,query_cpd,Topoisomerase,DNA Damage,2.0,3.0,2-3,CellPainting,2021018038.0
1.0,786-0,Amonafide,topoisomerase inhibitor,2.0,5.0,query_cpd,Topoisomerase,DNA Damage,2.0,4.0,2-4,CellPainting,2021018038.0
1.0,786-0,PHA-680632,Aurora kinase inhibitor,2.0,5.0,query_cpd,Aurora Kinase,Cell Cycle,2.0,18.0,2-18,CellPainting,2021018038.0
1.0,786-0,GSK429286A,rho associated kinase inhibitor,2.0,5.0,query_cpd,ROCK,Cell Cycle,2.0,22.0,2-22,CellPainting,2021018038.0
1.0,786-0,Everolimus (RAD001),mTOR inhibitor,2.0,5.0,query_cpd,mTOR,PI3K/Akt/mTOR,3.0,4.0,3-4,CellPainting,2021018038.0
1.0,786-0,Y-27632 2HCl,rho associated kinase inhibitor,2.0,5.0,query_cpd,Autophagy.ROCK,Cell Cycle,3.0,11.0,3-11,CellPainting,2021018038.0
1.0,786-0,ABT-751 (E7010),tubulin polymerization inhibitor,2.0,5.0,query_cpd,Microtubule Associated,Cytoskeletal Signaling,3.0,12.0,3-12,CellPainting,2021018038.0
1.0,786-0,ZSTK474,PI3K inhibitor,2.0,5.0,query_cpd,PI3K,PI3K/Akt/mTOR,3.0,15.0,3-15,CellPainting,2021018038.0
1.0,786-0,Belinostat (PXD101),HDAC inhibitor,2.0,5.0,query_cpd,HDAC,Epigenetics,3.0,17.0,3-17,CellPainting,2021018038.0
1.0,786-0,LAQ824 (Dacinostat),HDAC inhibitor,2.0,5.0,query_cpd,HDAC,Epigenetics,3.0,19.0,3-19,CellPainting,2021018038.0
