dataset,top_n,gene_mode,modality,acc_mean,acc_std,f1_mean,f1_std,auroc_mean,auroc_std,topk_mean,topk_std
CDRP-bio,10,random,CP,0.2366666666666667,0.05314201797141385,0.20959410430839,0.02384863028582227,,,0.44733333333333336,0.07055172780518061
CDRP-bio,10,random,Early Fusion,0.23633333333333334,0.03691832827963589,0.20649090169090167,0.028986295635727095,,,0.4653333333333333,0.1203871070985409
CDRP-bio,10,random,GE,0.11193333333333333,0.0400684599339865,0.08119773242630385,0.03420670259377106,,,0.27473333333333333,0.06010346018263779
CDRP-bio,10,random,Late Fusion,0.2482,0.06660052274291568,0.22095734054305483,0.04790203264942572,,,0.45740000000000003,0.0980552565308629
CDRP-bio,10,ranked,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,10,ranked,Early Fusion,0.22866666666666666,0.06664999791614566,0.20752869352869352,0.0417907174019489,,,0.4720000000000001,0.14280133830683178
CDRP-bio,10,ranked,GE,0.2533333333333333,0.09237604307034011,0.18331959706959705,0.05188562280913297,,,0.4656666666666666,0.15642534605647795
CDRP-bio,10,ranked,Late Fusion,0.2693333333333333,0.0606630035524124,0.24417473399616255,0.06053118274985258,,,0.44800000000000006,0.12301422681950248
CDRP-bio,10,wilcoxon_union,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,10,wilcoxon_union,Early Fusion,0.24433333333333335,0.03269386622730461,0.2142070522070522,0.028301212555165954,,,0.4716666666666667,0.11374923687167703
CDRP-bio,10,wilcoxon_union,GE,0.179,0.04630214777835785,0.15152380952380953,0.05360423451720827,,,0.4873333333333333,0.0961234738355945
CDRP-bio,10,wilcoxon_union,Late Fusion,0.26866666666666666,0.039693268390944524,0.2341507936507936,0.024990732724276935,,,0.4876666666666667,0.11551575169165841
CDRP-bio,100,random,CP,0.2366666666666667,0.05314201797141385,0.20959410430839,0.02384863028582227,,,0.44733333333333336,0.07055172780518061
