dataset,top_n,gene_mode,modality,acc_mean,acc_std,f1_mean,f1_std,auroc_mean,auroc_std,topk_mean,topk_std
LINCS,10,random,CP,0.24242585744910322,0.09346470169511031,0.21810447584375176,0.09109216575658315,0.6540971453054034,0.057639472426627994,0.3538161797338559,0.08620724850217826
LINCS,10,random,Early Fusion,0.2588348693778338,0.08663233540780621,0.2372807883408184,0.09385139049714404,0.6488873281862676,0.0656814755510482,0.3700687050146345,0.09135371220797704
LINCS,10,random,GE,0.18516727030458408,0.06376458926772752,0.1551972154471288,0.06444943032059575,0.6059405081987329,0.046399811422029695,0.334981979836469,0.07137088369389442
LINCS,10,random,Late Fusion,0.2534430517173312,0.0886116491636798,0.23103027128640463,0.09527382293458181,0.6636846636263787,0.05756415846604126,0.38423483726017643,0.08512297346910423
LINCS,10,ranked,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,10,ranked,Early Fusion,0.2519565016634229,0.09969731700810139,0.23774880191942122,0.09910193006263862,0.6468328825584647,0.0759891443972479,0.3741864338549411,0.10958744123983265
LINCS,10,ranked,GE,0.23752772156965749,0.09844382599507777,0.22444129484312364,0.10314526545462925,0.6715275500294084,0.035810076772082484,0.4121816646891709,0.08039855885874327
LINCS,10,ranked,Late Fusion,0.25590981788924216,0.10170460899969004,0.23087202703322945,0.10650354116864534,0.6550216880772505,0.06698576458221149,0.3918678282478748,0.09061881036468962
LINCS,10,wilcoxon_union,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,10,wilcoxon_union,Early Fusion,0.2606285379815051,0.10179861958495177,0.24211521285005677,0.11414545671028026,0.6544046170717476,0.07824479442133808,0.38202880834877945,0.11369505525952857
LINCS,10,wilcoxon_union,GE,0.26345113463150116,0.0761661328972186,0.2384882599990176,0.07994900013729841,0.6938911537172746,0.05059831015562457,0.43597436665524747,0.08087152529524361
LINCS,10,wilcoxon_union,Late Fusion,0.2770354807321583,0.10840878026773385,0.2599559896090276,0.12355220981452353,0.6817694008074827,0.05903894719585769,0.41268226282171155,0.11943808872509995
LINCS,100,random,CP,0.24242585744910322,0.09346470169511031,0.21810447584375176,0.09109216575658315,0.6540971453054034,0.057639472426627994,0.3538161797338559,0.08620724850217826
LINCS,100,random,Early Fusion,0.26311970535934215,0.09362626486949253,0.24716459126521145,0.08945528248821888,0.6769476532806519,0.058834020912747864,0.3766472074243024,0.09125412761107661
LINCS,100,random,GE,0.23851232866956887,0.07497394524090673,0.22286437582938137,0.0842734720617078,0.6607465696491784,0.054315923581277896,0.35608431644266,0.07384009871000118
LINCS,100,random,Late Fusion,0.25308010314234475,0.08881051953638255,0.23700172047743467,0.08912658030338906,0.6637179381905917,0.056008554340022165,0.3574081336879506,0.08702035639848832
LINCS,100,ranked,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,100,ranked,Early Fusion,0.27104317098865377,0.09760832073227584,0.25862700173024505,0.09578490362143961,0.6812774668455135,0.07330801113931446,0.3917061526491784,0.0932219088808063
LINCS,100,ranked,GE,0.2593560107791724,0.10868408656840475,0.26104103403191137,0.11747181753349839,0.7014182081513746,0.03378279710484538,0.37866534217958575,0.1111976239174852
LINCS,100,ranked,Late Fusion,0.25809393979675216,0.10903168284001846,0.2423829995427528,0.10837454853933953,0.6633847227046193,0.06121865449532352,0.35526699212322665,0.11237540250863401
LINCS,100,wilcoxon_union,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,100,wilcoxon_union,Early Fusion,0.2647573509654566,0.1294216344934399,0.2587491420658904,0.12927271892234707,0.6779377397145979,0.05987540236846429,0.36976850290515173,0.1065125870737099
LINCS,100,wilcoxon_union,GE,0.2670783360940133,0.08714370341825715,0.2734097843908823,0.08400238464448373,0.7111400357864883,0.05211154019311656,0.4123571443539964,0.08806045750566001
LINCS,100,wilcoxon_union,Late Fusion,0.2758179930895091,0.1108528842390402,0.2632581855711214,0.10812405708393502,0.6833078813764226,0.06334477766273859,0.38579209717380597,0.1063682231627213
LINCS,15,random,CP,0.24242585744910322,0.09346470169511031,0.21810447584375176,0.09109216575658315,0.6540971453054034,0.057639472426627994,0.3538161797338559,0.08620724850217826
LINCS,15,random,Early Fusion,0.2524506112211299,0.08023142080919644,0.2329818540471424,0.08281025693484284,0.6635041632273481,0.061912758546881545,0.3748640273180344,0.08021372295803943
LINCS,15,random,GE,0.19394810556435527,0.06032362259939587,0.1748702256101901,0.06588912887629894,0.6238724522354916,0.05003046775838234,0.3430538429838147,0.07208535533454676
LINCS,15,random,Late Fusion,0.2565825893083098,0.08808654925363725,0.23552656117099569,0.09394917856580977,0.666556047200553,0.06018279013452814,0.38586241295511037,0.08905460053725077
LINCS,15,ranked,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,15,ranked,Early Fusion,0.2674516883214444,0.0802692758522228,0.24704105037009647,0.08999085570918267,0.6643258960118321,0.07029424026052489,0.3780652494583864,0.07761932712907768
LINCS,15,ranked,GE,0.2596294455250966,0.10305798970983313,0.23930565282155136,0.10765957520688862,0.6744034031867875,0.040664174795532027,0.40124484048526166,0.0964469690981016
LINCS,15,ranked,Late Fusion,0.26169942787592443,0.09751178550614245,0.23393180097992666,0.10274366555966011,0.653843972924489,0.061752419693427936,0.39158018363628,0.0877785824013576
LINCS,15,wilcoxon_union,CP,0.24242585744910325,0.10238545089780655,0.21810447584375176,0.0997864679937605,0.6540971453054034,0.06819994350634036,0.3538161797338559,0.09443530925019299
LINCS,15,wilcoxon_union,Early Fusion,0.26074777134359073,0.09929991936379885,0.2497199789448386,0.09904121831977421,0.6681044542666502,0.06822119319514001,0.398984904878634,0.0902915100705947
