dataset,top_n,gene_mode,gene_id,fold,modality,f1
CDRP-bio,5,ranked,r0,1,CP,0.10769230769230768
CDRP-bio,5,ranked,r0,1,GE,0.21794871794871792
CDRP-bio,5,ranked,r0,1,Early Fusion,0.09523809523809523
CDRP-bio,5,ranked,r0,1,Late Fusion,0.10256410256410256
CDRP-bio,5,random,rand1,1,CP,0.10769230769230768
CDRP-bio,5,random,rand1,1,GE,0.059027777777777776
CDRP-bio,5,random,rand1,1,Early Fusion,0.09523809523809523
CDRP-bio,5,random,rand1,1,Late Fusion,0.06666666666666667
CDRP-bio,5,random,rand2,1,CP,0.10769230769230768
CDRP-bio,5,random,rand2,1,GE,0.020833333333333332
CDRP-bio,5,random,rand2,1,Early Fusion,0.09523809523809523
CDRP-bio,5,random,rand2,1,Late Fusion,0.1130952380952381
CDRP-bio,5,random,rand3,1,CP,0.10769230769230768
CDRP-bio,5,random,rand3,1,GE,0.06944444444444443
CDRP-bio,5,random,rand3,1,Early Fusion,0.09523809523809523
CDRP-bio,5,random,rand3,1,Late Fusion,0.11224489795918366
CDRP-bio,5,random,rand4,1,CP,0.10769230769230768
CDRP-bio,5,random,rand4,1,GE,0.13605442176870747
CDRP-bio,5,random,rand4,1,Early Fusion,0.09523809523809523
CDRP-bio,5,random,rand4,1,Late Fusion,0.13797313797313798
CDRP-bio,5,random,rand5,1,CP,0.10769230769230768
CDRP-bio,5,random,rand5,1,GE,0.1
CDRP-bio,5,random,rand5,1,Early Fusion,0.09523809523809523
CDRP-bio,5,random,rand5,1,Late Fusion,0.09333333333333332
CDRP-bio,5,ranked,r0,2,CP,0.13333333333333333
CDRP-bio,5,ranked,r0,2,GE,0.0
CDRP-bio,5,ranked,r0,2,Early Fusion,0.09355742296918766
CDRP-bio,5,ranked,r0,2,Late Fusion,0.13333333333333333
CDRP-bio,5,random,rand1,2,CP,0.13333333333333333
CDRP-bio,5,random,rand1,2,GE,0.0
CDRP-bio,5,random,rand1,2,Early Fusion,0.08888888888888888
CDRP-bio,5,random,rand1,2,Late Fusion,0.13333333333333333
CDRP-bio,5,random,rand2,2,CP,0.13333333333333333
CDRP-bio,5,random,rand2,2,GE,0.0
CDRP-bio,5,random,rand2,2,Early Fusion,0.0625
CDRP-bio,5,random,rand2,2,Late Fusion,0.0763888888888889
CDRP-bio,5,random,rand3,2,CP,0.13333333333333333
CDRP-bio,5,random,rand3,2,GE,0.0
