dataset,top_n,gene_mode,modality,f1_mean,f1_std
CDRP-bio,10,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,10,random,Early Fusion,0.14700690396833888,0.060531630706131295
CDRP-bio,10,random,GE,0.05782460557750051,0.04360222458374754
CDRP-bio,10,random,Late Fusion,0.14311424467222786,0.04577307625649665
CDRP-bio,10,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,10,ranked,Early Fusion,0.14418055679756445,0.06205485768273094
CDRP-bio,10,ranked,GE,0.1104075554075554,0.05836164131314504
CDRP-bio,10,ranked,Late Fusion,0.14443677538491778,0.05054626086240937
CDRP-bio,100,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,100,random,Early Fusion,0.12619702358676263,0.05743295250880759
CDRP-bio,100,random,GE,0.07908550357328553,0.04663387170392966
CDRP-bio,100,random,Late Fusion,0.14759124255640177,0.04972017516820855
CDRP-bio,100,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,100,ranked,Early Fusion,0.178544957479168,0.03491122047416812
CDRP-bio,100,ranked,GE,0.1164539726146869,0.07262351740658297
CDRP-bio,100,ranked,Late Fusion,0.1848274964383987,0.06584760800232044
CDRP-bio,15,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,15,random,Early Fusion,0.14303735856179464,0.04957193466434638
CDRP-bio,15,random,GE,0.07981205699270545,0.0600734244082608
CDRP-bio,15,random,Late Fusion,0.14735617417907332,0.04591952731291172
CDRP-bio,15,ranked,CP,0.1499151404151404,0.04769072961485817
CDRP-bio,15,ranked,Early Fusion,0.13770619313852395,0.05584149880300036
CDRP-bio,15,ranked,GE,0.11009539072039072,0.05885442175531869
CDRP-bio,15,ranked,Late Fusion,0.14806133992058362,0.054342698085281624
CDRP-bio,150,random,CP,0.1499151404151404,0.04570273427802224
CDRP-bio,150,random,Early Fusion,0.1418181026956237,0.06535653872189025
CDRP-bio,150,random,GE,0.0987102881356513,0.0664442499692404
CDRP-bio,150,random,Late Fusion,0.1473010026474091,0.0544845921410105
CDRP-bio,150,ranked,CP,0.1499151404151404,0.04769072961485817
