dataset,top_n,gene_mode,gene_id,fold,modality,f1
LINCS,5,ranked,r0,1,CP,0.1469266921444308
LINCS,5,ranked,r0,1,GE,0.0632736954728421
LINCS,5,ranked,r0,1,Early Fusion,0.162871805921005
LINCS,5,ranked,r0,1,Late Fusion,0.1512215079499659
LINCS,5,random,rand1,1,CP,0.1469266921444308
LINCS,5,random,rand1,1,GE,0.03815266931165465
LINCS,5,random,rand1,1,Early Fusion,0.15368391426963296
LINCS,5,random,rand1,1,Late Fusion,0.1453356934261029
LINCS,5,random,rand2,1,CP,0.1469266921444308
LINCS,5,random,rand2,1,GE,0.027766499411111884
LINCS,5,random,rand2,1,Early Fusion,0.1530045058839384
LINCS,5,random,rand2,1,Late Fusion,0.1482448886529354
LINCS,5,random,rand3,1,CP,0.1469266921444308
LINCS,5,random,rand3,1,GE,0.023842513594066386
LINCS,5,random,rand3,1,Early Fusion,0.15843717255119102
LINCS,5,random,rand3,1,Late Fusion,0.15149995046443326
LINCS,5,random,rand4,1,CP,0.1469266921444308
LINCS,5,random,rand4,1,GE,0.050162096341395554
LINCS,5,random,rand4,1,Early Fusion,0.14743128482573442
LINCS,5,random,rand4,1,Late Fusion,0.14272212745712184
LINCS,5,random,rand5,1,CP,0.1469266921444308
LINCS,5,random,rand5,1,GE,0.060247191635087564
LINCS,5,random,rand5,1,Early Fusion,0.15779127363538462
LINCS,5,random,rand5,1,Late Fusion,0.14570935045958852
LINCS,5,ranked,r0,2,CP,0.14499424699491112
LINCS,5,ranked,r0,2,GE,0.06770521802067543
LINCS,5,ranked,r0,2,Early Fusion,0.15819297665409313
LINCS,5,ranked,r0,2,Late Fusion,0.1449737429747673
LINCS,5,random,rand1,2,CP,0.14499424699491112
LINCS,5,random,rand1,2,GE,0.029815623959088502
LINCS,5,random,rand1,2,Early Fusion,0.13430469780409954
LINCS,5,random,rand1,2,Late Fusion,0.14383151912696243
LINCS,5,random,rand2,2,CP,0.14499424699491112
LINCS,5,random,rand2,2,GE,0.015700351716886034
LINCS,5,random,rand2,2,Early Fusion,0.13519588581308511
LINCS,5,random,rand2,2,Late Fusion,0.14148366816424696
LINCS,5,random,rand3,2,CP,0.14499424699491112
LINCS,5,random,rand3,2,GE,0.027637390004980906
LINCS,5,random,rand3,2,Early Fusion,0.12694771054392506
LINCS,5,random,rand3,2,Late Fusion,0.1415509334320558
LINCS,5,random,rand4,2,CP,0.14499424699491112
LINCS,5,random,rand4,2,GE,0.01903176217276687
LINCS,5,random,rand4,2,Early Fusion,0.13671985464472747
LINCS,5,random,rand4,2,Late Fusion,0.14898733196879202
LINCS,5,random,rand5,2,CP,0.14499424699491112
LINCS,5,random,rand5,2,GE,0.020511034706618303
LINCS,5,random,rand5,2,Early Fusion,0.136831211580903
LINCS,5,random,rand5,2,Late Fusion,0.1440489390514295
LINCS,5,ranked,r0,3,CP,0.2807634721556302
LINCS,5,ranked,r0,3,GE,0.16002840858270964
LINCS,5,ranked,r0,3,Early Fusion,0.3127506513685711
LINCS,5,ranked,r0,3,Late Fusion,0.2884223598122484
LINCS,5,random,rand1,3,CP,0.2807634721556302
LINCS,5,random,rand1,3,GE,0.03929511627452131
LINCS,5,random,rand1,3,Early Fusion,0.30001038916213457
LINCS,5,random,rand1,3,Late Fusion,0.29554675737708075
LINCS,5,random,rand2,3,CP,0.2807634721556302
LINCS,5,random,rand2,3,GE,0.0466895771847253
LINCS,5,random,rand2,3,Early Fusion,0.2964669789910658
LINCS,5,random,rand2,3,Late Fusion,0.2799521363129542
LINCS,5,random,rand3,3,CP,0.2807634721556302
LINCS,5,random,rand3,3,GE,0.05844199227640486
LINCS,5,random,rand3,3,Early Fusion,0.29842600770443767
LINCS,5,random,rand3,3,Late Fusion,0.28944943212145474
LINCS,5,random,rand4,3,CP,0.2807634721556302
LINCS,5,random,rand4,3,GE,0.05160439471847632
LINCS,5,random,rand4,3,Early Fusion,0.2971318919555451
LINCS,5,random,rand4,3,Late Fusion,0.285768471081632
LINCS,5,random,rand5,3,CP,0.2807634721556302
LINCS,5,random,rand5,3,GE,0.12576339648237844
LINCS,5,random,rand5,3,Early Fusion,0.29387536596358194
LINCS,5,random,rand5,3,Late Fusion,0.2831927687550161
LINCS,5,ranked,r0,4,CP,0.16795134500465914
LINCS,5,ranked,r0,4,GE,0.07520374819807116
LINCS,5,ranked,r0,4,Early Fusion,0.1717643719726792
LINCS,5,ranked,r0,4,Late Fusion,0.16884159760898135
LINCS,5,random,rand1,4,CP,0.16795134500465914
LINCS,5,random,rand1,4,GE,0.006119929293933069
LINCS,5,random,rand1,4,Early Fusion,0.16374655163458338
LINCS,5,random,rand1,4,Late Fusion,0.17503659990224882
LINCS,5,random,rand2,4,CP,0.16795134500465914
LINCS,5,random,rand2,4,GE,0.012230719295876812
LINCS,5,random,rand2,4,Early Fusion,0.16330577684916417
LINCS,5,random,rand2,4,Late Fusion,0.1658547083752719
LINCS,5,random,rand3,4,CP,0.16795134500465914
LINCS,5,random,rand3,4,GE,0.01233366967591354
LINCS,5,random,rand3,4,Early Fusion,0.16479080641763583
LINCS,5,random,rand3,4,Late Fusion,0.17315687006862848
LINCS,5,random,rand4,4,CP,0.16795134500465914
LINCS,5,random,rand4,4,GE,0.03059942443599597
LINCS,5,random,rand4,4,Early Fusion,0.1631219723982374
LINCS,5,random,rand4,4,Late Fusion,0.1750344396237768
LINCS,5,random,rand5,4,CP,0.16795134500465914
LINCS,5,random,rand5,4,GE,0.019344032467111544
LINCS,5,random,rand5,4,Early Fusion,0.16382765527955695
LINCS,5,random,rand5,4,Late Fusion,0.16899627376544352
LINCS,5,ranked,r0,5,CP,0.268721001097659
LINCS,5,ranked,r0,5,GE,0.1548984122363818
LINCS,5,ranked,r0,5,Early Fusion,0.2833659574350149
LINCS,5,ranked,r0,5,Late Fusion,0.2811667786935818
LINCS,5,random,rand1,5,CP,0.268721001097659
LINCS,5,random,rand1,5,GE,0.02083320163766201
