dataset,top_n,gene_mode,modality,f1_mean,f1_std
LINCS,10,random,CP,0.20187135147945806,0.061402581721812614
LINCS,10,random,Early Fusion,0.20428810700697986,0.06405470620395728
LINCS,10,random,GE,0.07842815773876524,0.031195827726028
LINCS,10,random,Late Fusion,0.20446266059031978,0.06482696015847822
LINCS,10,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,10,ranked,Early Fusion,0.21411309339938772,0.07057054314043545
LINCS,10,ranked,GE,0.15154216116294325,0.06079116122555372
LINCS,10,ranked,Late Fusion,0.2168886340121806,0.07516452833464307
LINCS,100,random,CP,0.20187135147945806,0.061402581721812614
LINCS,100,random,Early Fusion,0.21943572398765837,0.06278522095762284
LINCS,100,random,GE,0.1734409190663883,0.06332894862895654
LINCS,100,random,Late Fusion,0.22157171753036672,0.06918180590713256
LINCS,100,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,100,ranked,Early Fusion,0.2361379717081909,0.06864281031793278
LINCS,100,ranked,GE,0.20243841957560624,0.07673115245103135
LINCS,100,ranked,Late Fusion,0.2299528942038303,0.08138811851281574
LINCS,15,random,CP,0.20187135147945806,0.061402581721812614
LINCS,15,random,Early Fusion,0.19896213635776974,0.06362126415487208
LINCS,15,random,GE,0.08595305443354281,0.035420549462444884
LINCS,15,random,Late Fusion,0.20911779801758104,0.06381644697895471
LINCS,15,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,15,ranked,Early Fusion,0.2115602003170113,0.07302138958657092
LINCS,15,ranked,GE,0.17792314023437167,0.06692997869776135
LINCS,15,ranked,Late Fusion,0.21996324062242537,0.07379031277003835
LINCS,150,random,CP,0.20187135147945806,0.061402581721812614
LINCS,150,random,Early Fusion,0.22682480072241315,0.06588291861202955
LINCS,150,random,GE,0.1850167393616592,0.060268298777883124
LINCS,150,random,Late Fusion,0.22108550273715985,0.073444756659946
LINCS,150,ranked,CP,0.20187135147945803,0.06726315819618235
LINCS,150,ranked,Early Fusion,0.23214381331256972,0.07168366976049459
LINCS,150,ranked,GE,0.21047034552185462,0.07506862330016584
LINCS,150,ranked,Late Fusion,0.23049267221448613,0.08067109514170742
LINCS,20,random,CP,0.20187135147945806,0.061402581721812614
LINCS,20,random,Early Fusion,0.20902383974998984,0.06307814311286145
LINCS,20,random,GE,0.10772563680945556,0.04283998078283094
