dataset	model	top_n	fold	modality	f1
CDRP-bio	MLP	10	1	CP	0.0
CDRP-bio	MLP	10	1	GE	0.07828282828282827
CDRP-bio	MLP	10	1	EarlyFusion	0.24330357142857142
CDRP-bio	MLP	10	1	LateFusion	0.022727272727272724
CDRP-bio	MLP	10	2	CP	0.0844017094017094
CDRP-bio	MLP	10	2	GE	0.004629629629629629
CDRP-bio	MLP	10	2	EarlyFusion	0.23611111111111108
CDRP-bio	MLP	10	2	LateFusion	0.0844017094017094
CDRP-bio	MLP	10	3	CP	0.22189542483660132
CDRP-bio	MLP	10	3	GE	0.0
CDRP-bio	MLP	10	3	EarlyFusion	0.16468253968253968
CDRP-bio	MLP	10	3	LateFusion	0.2333333333333333
CDRP-bio	MLP	10	4	CP	0.11142857142857142
CDRP-bio	MLP	10	4	GE	0.005
CDRP-bio	MLP	10	4	EarlyFusion	0.17666666666666667
CDRP-bio	MLP	10	4	LateFusion	0.11142857142857142
CDRP-bio	MLP	10	5	CP	0.08816568047337278
CDRP-bio	MLP	10	5	GE	0.0
CDRP-bio	MLP	10	5	EarlyFusion	0.14578754578754577
CDRP-bio	MLP	10	5	LateFusion	0.08816568047337278
CDRP-bio	MLP	20	1	CP	0.0
CDRP-bio	MLP	20	1	GE	0.11691176470588234
CDRP-bio	MLP	20	1	EarlyFusion	0.0844017094017094
CDRP-bio	MLP	20	1	LateFusion	0.09791666666666667
CDRP-bio	MLP	20	2	CP	0.0844017094017094
CDRP-bio	MLP	20	2	GE	0.0
CDRP-bio	MLP	20	2	EarlyFusion	0.3055555555555555
CDRP-bio	MLP	20	2	LateFusion	0.09126984126984126
CDRP-bio	MLP	20	3	CP	0.22189542483660132
CDRP-bio	MLP	20	3	GE	0.03260869565217391
CDRP-bio	MLP	20	3	EarlyFusion	0.07738095238095237
CDRP-bio	MLP	20	3	LateFusion	0.1875
CDRP-bio	MLP	20	4	CP	0.11142857142857142
CDRP-bio	MLP	20	4	GE	0.0031999999999999997
CDRP-bio	MLP	20	4	EarlyFusion	0.21098039215686273
CDRP-bio	MLP	20	4	LateFusion	0.09925925925925926
CDRP-bio	MLP	20	5	CP	0.08816568047337278
CDRP-bio	MLP	20	5	GE	0.10702341137123746
CDRP-bio	MLP	20	5	EarlyFusion	0.08816568047337278
CDRP-bio	MLP	20	5	LateFusion	0.08816568047337278
CDRP-bio	MLP	30	1	CP	0.0
CDRP-bio	MLP	30	1	GE	0.0
CDRP-bio	MLP	30	1	EarlyFusion	0.07828282828282827
CDRP-bio	MLP	30	1	LateFusion	0.0
CDRP-bio	MLP	30	2	CP	0.0844017094017094
CDRP-bio	MLP	30	2	GE	0.08680555555555554
CDRP-bio	MLP	30	2	EarlyFusion	0.2691176470588235
CDRP-bio	MLP	30	2	LateFusion	0.0844017094017094
CDRP-bio	MLP	30	3	CP	0.22189542483660132
CDRP-bio	MLP	30	3	GE	0.01388888888888889
CDRP-bio	MLP	30	3	EarlyFusion	0.18571428571428572
CDRP-bio	MLP	30	3	LateFusion	0.19351851851851853
CDRP-bio	MLP	30	4	CP	0.11142857142857142
CDRP-bio	MLP	30	4	GE	0.15428571428571428
CDRP-bio	MLP	30	4	EarlyFusion	0.18590476190476188
CDRP-bio	MLP	30	4	LateFusion	0.10896551724137932
CDRP-bio	MLP	30	5	CP	0.08816568047337278
CDRP-bio	MLP	30	5	GE	0.076007326007326
CDRP-bio	MLP	30	5	EarlyFusion	0.08351648351648353
CDRP-bio	MLP	30	5	LateFusion	0.08816568047337278
CDRP-bio	MLP	50	1	CP	0.0
CDRP-bio	MLP	50	1	GE	0.16428571428571428
CDRP-bio	MLP	50	1	EarlyFusion	0.16071428571428573
CDRP-bio	MLP	50	1	LateFusion	0.044444444444444446
CDRP-bio	MLP	50	2	CP	0.0844017094017094
CDRP-bio	MLP	50	2	GE	0.059523809523809514
CDRP-bio	MLP	50	2	EarlyFusion	0.25
CDRP-bio	MLP	50	2	LateFusion	0.0844017094017094
CDRP-bio	MLP	50	3	CP	0.22189542483660132
CDRP-bio	MLP	50	3	GE	0.07745098039215687
CDRP-bio	MLP	50	3	EarlyFusion	0.22685185185185186
CDRP-bio	MLP	50	3	LateFusion	0.19780701754385965
CDRP-bio	MLP	50	4	CP	0.11142857142857142
CDRP-bio	MLP	50	4	GE	0.15238095238095237
CDRP-bio	MLP	50	4	EarlyFusion	0.09809523809523808
CDRP-bio	MLP	50	4	LateFusion	0.11142857142857142
CDRP-bio	MLP	50	5	CP	0.08816568047337278
CDRP-bio	MLP	50	5	GE	0.08012820512820512
CDRP-bio	MLP	50	5	EarlyFusion	0.10256410256410256
CDRP-bio	MLP	50	5	LateFusion	0.08816568047337278
CDRP-bio	MLP	100	1	CP	0.0
CDRP-bio	MLP	100	1	GE	0.05075757575757576
CDRP-bio	MLP	100	1	EarlyFusion	0.17023809523809522
CDRP-bio	MLP	100	1	LateFusion	0.047979797979797977
CDRP-bio	MLP	100	2	CP	0.0844017094017094
CDRP-bio	MLP	100	2	GE	0.0037878787878787876
CDRP-bio	MLP	100	2	EarlyFusion	0.0844017094017094
CDRP-bio	MLP	100	2	LateFusion	0.1313131313131313
CDRP-bio	MLP	100	3	CP	0.22189542483660132
CDRP-bio	MLP	100	3	GE	0.029761904761904767
CDRP-bio	MLP	100	3	EarlyFusion	0.028846153846153844
CDRP-bio	MLP	100	3	LateFusion	0.21666666666666667
CDRP-bio	MLP	100	4	CP	0.11142857142857142
CDRP-bio	MLP	100	4	GE	0.0128
CDRP-bio	MLP	100	4	EarlyFusion	0.24848484848484848
CDRP-bio	MLP	100	4	LateFusion	0.10666666666666666
CDRP-bio	MLP	100	5	CP	0.08816568047337278
CDRP-bio	MLP	100	5	GE	0.03076923076923077
